[00:00:00.800] 男：那我不说了，你说。
[00:32:23.432] 女：不是我记不下来，打字太慢了。
[00:32:25.722] 女：没事，我到时候发给你，我上面再写回复。
[00:32:28.775] 男：到时候发给你。
[00:32:30.320] 男：呃，然后他还给你捋了一下你18年到23年的成长经历，你自己看。
[00:32:35.628] 女：什么真的假的。
[00:32:36.765] 男：18年到23年有啥性感经历啊，18年他说你内心对感情的渴望与现实的孤独感交织。
[00:32:44.940] 女：感情如果不是往那个恋爱方面发展的话，确实就是不是恋爱的那种感情，就是对友情。
[00:32:50.730] 男：或者亲情的渴望。
[00:32:51.889] 男：你不会再反正。
[00:32:52.881] 女：对于某种对于一种特定感情的渴望。
[00:32:55.363] 男：你就是手机抬那么高。
[00:32:56.852] 女：你是干嘛？
[00:32:57.514] 女：因为你的因为你的太亮了哈。
[00:33:00.300] 男：呃，19年到20年，此阶段极易遇到短暂却深刻的桃花。
[00:33:07.260] 男：1920年了是吧？
[00:33:10.080] 男：那我觉得这句话还是应该念一下。
[00:33:13.001] 男：他说断关系难以稳定，容易因情伤神，或因对方的原因导致自己名声、听力受损。
[00:33:19.920] 女：名声都没有，确实今天受损19年到20年。
[00:33:24.420] 女：嗯。
[00:33:27.380] 女：勉强算好21年. 
[00:33:29.004] 男：他说，感情上身不由己，容易陷入多角关系、秘密恋情之中。
[00:33:34.343] 男：啥时候21年没有。
[00:33:36.540] 男：22年到23年。
[00:33:39.260] 男：自有良缘出现。
[00:33:42.160] 男：但自身无力把握，会是情感上呃，我觉得后面那段有点准。
[00:33:48.124] 男：他说是情感上极易受重创，感到绝望的年份，需要呃防御人不舒或为情所困导致神经地坪。
[00:33:58.580] 男：那24年，他说。
[00:34:02.320] 男：有点累，2、四年会渴望安定，可能遇到看似合适的对象，但相处处起来仍感疲惫。
[00:34:10.500] 男：有吗？
[00:34:11.082] 男：他不是他不是。
[00:34:12.828] 女：25年吗？
[00:34:13.993] 男：那二四是谁啊，后面。
[00:34:16.322] 女：那一个人啊。
[00:34:17.777] 男：不是。
[00:34:20.000] 女：不是。
[00:34:21.240] 女：那谁那个。
[00:34:24.140] 男：不认识吗？
[00:34:24.906] 女：你不认识，就是我说的和尚后面那个。
[00:34:28.740] 男：哈尔滨那个嗯你跟他是真有喜欢过的是吗？
[00:34:33.560] 女：不是那种喜欢你，反正就是就是一一言两语解释不清楚的那种复杂吧。
[00:34:39.143] 女：哦我还以为。
[00:34:40.106] 男：他是单纯的强迫你就是你没有对他没有。
[00:34:43.840] 女：从二三年底到2到25年1月份这么长时间。
[00:34:48.689] 男：然后。
[00:34:49.500] 女：他都在跟我讨论这个事情。
[00:34:53.240] 男：他在楼上。
[00:34:55.760] 女：你别听了，四个人听了都崩溃了。
[00:34:59.240] 女：他他他他他还他他只是听了一点梗概，他就浑身发抖。
[00:35:04.015] 女：等一下。
[00:35:04.666] 男：你听我说，25年，他好像有点那什么了，他说25年。
[00:35:09.224] 男：这是遇到正缘的绝佳时机。
[00:35:11.611] 男：对方很可能是在他学习工作环境中出现的，给予他温暖和支持的人。
[00:35:17.689] 男：今年遇到的对象质量远胜以往。
[00:35:20.510] 女：确实，但是不是学习。
[00:35:22.247] 男：和工作上也不是那个人吗？
[00:35:24.634] 男：嗯，好，26年。
[00:35:29.380] 男：我觉得2627年应该能你来转转机了。
[00:35:32.707] 男：因为他说你26年到27年就是会心境会豁然开朗，能够理智看待感情，自身力量壮大，情感关系趋向稳定。
[00:35:42.700] 女：这不是理智吗？
[00:35:44.620] 男：对呀，理智了呀。
[00:35:46.392] 男：然后28年之后。
[00:35:48.980] 男：呃，他说你内心强大，温暖明亮，自然能吸引到成熟稳重的正源，建立健康滋养的亲密关系挺好的。
[00:35:59.760] 女：哎，听AI吧，以后问他一下。
[00:36:01.883] 男：你郑源什么时候出现？
[00:36:05.220] 女：不用了吧。
[00:36:07.540] 男：好笑啊，因为我也天天问我的证源什么时候出现嗯。
[00:36:11.065] 女：啥时候出现啊。
[00:36:12.072] 男：他说我是25。
[00:36:15.620] 女：探探探姐探探姐一定是那种专注自己内心，实则不然。
[00:36:20.057] 男：我想谈恋爱，我只是谈不上谢谢。
[00:36:23.340] 女：来来来，听听我这样的啊。
[00:36:25.435] 女：来来来，听听像我这样的，我不要。
[00:36:30.080] 女：你要谈恋爱不想谈。
[00:36:32.674] 男：我还没谈过呢。
[00:36:34.880] 女：好。
[00:36:37.640] 男：就是很好奇哦。
[00:36:38.691] 女：我跟我跟他有闪过一点的那种念头了。
[00:36:41.495] 女：因为因为因为从合唱那时候开始，我就一直哎什么谈恋爱谈恋爱哎呀，烦了，你叫你跟我谈，那我试一下你们说的恋爱是啥感觉吧。
[00:36:50.783] 男：你敢试一下。
[00:36:52.760] 女：对啊，我我就是想跟他讨论这个东西啊，你你要是能接受，我就可以给你试一段时间呗。
[00:36:57.749] 女：然后是一段时间说我们和平分手，就爱干嘛干嘛。
[00:37:01.420] 男：哦，但是有的时候怎么说呢？
[00:37:03.325] 男：就是我可能前一秒说我想谈恋爱，后天我就很害怕这个事情。
[00:37:07.655] 男：因为如果一旦你跟他建立这种联系，也就意味着。
[00:37:11.260] 男：在外人看来，你们两个是一个联系起来的个体，到时候你们两个想分开就很难很难。
[00:37:18.394] 男：甚至如果你提出想跟他分开，那他纠缠不舍怎么办？
[00:37:22.800] 男：就好恐怖。
[00:37:23.800] 女：对啊，这个就是我说的顾虑的点啊。
[00:37:31.260] 女：那我才可以学习更更加自由风格的关系嘛，虽然这个也挺难。
[00:37:38.960] 男：我靠，为什么他说这里那么像丢？
[00:37:41.800] 男：啊。
[00:37:43.680] 女：怎么说？
[00:37:47.600] 男：就不管是从五行特质算了，我还是先查一下他的。
[00:37:53.280] 女：五行特质吧。
[00:37:54.700] 男：还没查没查2004. 
[00:37:57.256] 女：后边的编法嗯。
[00:37:59.100] 男：昨天在哪？
[00:38:00.430] 女：河南河南。
[00:38:06.400] 男：我直接问这个人是的，你的郑源。
[00:38:09.700] 女：那不这么问吗？
[00:38:11.398] 女：都行。
[00:38:11.964] 男：怎么问都行。
[00:38:13.560] 女：算了，我我就我我哎，算了算了算了。
[00:38:18.040] 女：左边的。
[00:38:25.620] 男：但是其实如果如果张医生给我们的出生年月是对的那那那他不符合这个证人的。
[00:38:34.040] 男：那个他说正源或许会出现在夏季或者每个季节的最后一个月。
[00:38:43.340] 女：11月份吗？
[00:38:48.260] 女：每个季节哦，对。
[00:38:49.680] 男：因为11月、12月，一月是冬天，一月是算了。
[00:38:54.700] 男：二月、三月、四月不是不对，我想想。
[00:38:58.800] 男：啊，十月是哦11月是秋季的最后一一个季节，然后冬季的话是12月、一月、二月、二月也是。
[00:39:07.160] 男：然后三月、四月、五月，那他五月出生也可以。
[00:39:13.440] 女：我挺想跟他建立一种比较稳稳稳定的长期。
[00:39:18.654] 男：的一种关系的。
[00:39:20.392] 女：不是那种增援呢。
[00:39:23.400] 女：就是就是那种毕业之后你有需要啊，都可以马上去找他获得帮助的那种那那种那种那些朋友那种。
[00:39:30.584] 女：对啊，你先听我说吧。
[00:39:31.986] 男：你们两个之间到底是哪里有问题？
[00:39:35.800] 女：我觉得现在要靠靠靠陈小春的AI赛博算命得到得到一点建议，太感动了。
[00:39:41.919] 女：好的。
[00:39:42.313] 男：你要知道挑战肯定是有作用的。
[00:39:45.700] 男：哦，他说你为什么？
[00:39:48.060] 男：两个人之间为什么会开阔经营？
[00:39:50.336] 男：是因为你能够从他身上感觉到一丝温暖和才华。
[00:39:55.020] 女：不能这么说。
[00:39:58.340] 男：然后致命伤就是。
[00:40:01.580] 女：不能这么说，不是这样。
[00:40:03.609] 女：提枪。
[00:40:04.220] 男：如果你难以获得。
[00:40:06.220] 男：一位男命就是一位男生。
[00:40:09.020] 男：感到更加压抑。
[00:40:10.047] 男：嗯。
[00:40:10.218] 女：你不能这么说。
[00:40:11.245] 男：两人相处容易产生莫名其妙的误会和隔阂，互相鼓。
[00:40:15.740] 男：女生会在这这段感情中感觉到被束缚、被伤。
[00:40:23.400] 男：哪个分读了？
[00:40:26.120] 女：没事没事。
[00:40:26.973] 男：是男方更看重现实利益和个人空空间感。
[00:40:32.460] 男：女方本来就对感情缺乏安全感。
[00:40:35.480] 男：遇到了这种。
[00:40:37.700] 男：更容易患得患失。
[00:40:39.621] 女：不准不管他，让他闭嘴。
[00:40:42.091] 女：他说。
[00:40:43.060] 男：我觉得就。
[00:40:44.020] 男：对的，对。
[00:40:45.420] 男：他说综综合来看，这个男生并非是。
[00:40:50.360] 男：女生命理中真正的正缘，更像是一段深刻的孽缘。
[00:40:56.100] 女：孽缘孽缘倒是不算。
[00:40:58.050] 男：他说是你在郑源的。
[00:41:00.820] 男：且情感路上必须经历的一次重要考验。
[00:41:04.440] 女：算了，别考我了，烤烧子乱了。
[00:41:09.220] 女：然后位置啊。
[00:41:19.440] 男：他说你的这里面可能会出现在三个场三个场所，第一个是等下我我再重新问。
[00:41:43.040] 男：你走嗯，你也快了。
[00:41:44.984] 女：你过去到10分钟吧。
[00:41:47.206] 男：荔枝楼。
[00:41:49.260] 女：要么是。
[00:41:51.320] 女：不用不用那么久。
[00:41:53.304] 男：正源应该在2026年。
[00:41:56.860] 女：但留个十分钟是比较合适的，就是你过去之后，正好还有几分钟时间在那儿休息啊，看看场地啊。
[00:42:05.510] 男：好，过去问那边。
[00:42:06.841] 男：我还要还要提问，还要发言。
[00:42:09.281] 女：你怎么还。
[00:42:10.169] 男：回答问题？
[00:42:11.056] 女：你是你又是代表人。
[00:42:12.830] 男：不是代表人，是党小组内每个人都要发。
[00:42:17.040] 女：嗯嗯。
[00:42:23.240] 男：2026年是真正的转型。
[00:42:30.420] 女：啊，杀手。
[00:42:32.160] 女：11、十点半个小时。
[00:42:43.060] 男：他说，你们相遇的场所是跟火花，是跟火、跟文化、跟光明有关的场所。
[00:42:48.686] 男：比如图书馆、文化展览、音乐节、演唱会、大学校园，甚至是阳光明媚的户外公园。
[00:42:55.146] 男：南方城市的旅行途中，也可能因为网络社群和共同的学习兴趣、文化艺术爱好而结缘。
[00:43:02.740] 女：我从这种地方得得到的人都是孽缘，谢谢。
[00:43:07.640] 女：笑死了。
[00:43:10.720] 男：反正就是如果你在2026年遇到的，让你觉得温暖的、沉稳可靠的、积极向上、充满正能量的这种人，一般就是有可能。
[00:43:20.520] 女：不用的话，它就够了。
[00:43:22.380] 男：哎，有我就够了是吧？
[00:43:23.885] 男：那就够了。
[00:43:24.637] 女：好好好好，不不主动追求这种东西就。
[00:43:27.680] 女：本来就是那种有也可以，没有无所谓，那算一下财运吧，我支持。
[00:43:32.333] 女：哎，我我自己看到这个了，我真的没钱。
[00:43:35.124] 男：我真的想知道财运走。
[00:43:37.840] 男：因为我得提前到那里。
[00:43:45.320] 女：但是别别别躲在旁边偷偷听。
[00:43:48.600] 女：我。
[00:43:49.880] 女：我操，我我我得信啊。
[00:43:55.960] 女：我等一下再回来啊。
[00:43:57.940] 女：东西都没拿。
[00:43:59.740] 男：行。
[00:44:02.600] 男：嗯，他说你的命局中，我站着战争性把门口。
[00:44:06.025] 女：我就这样子嗯嗯嗯嗯嗯就走了。
[00:44:08.645] 女：我没听到象征性，我以为你的意思是你走之前把门锁。
[00:44:13.078] 男：一下就走。
[00:44:13.885] 男：他说你命里就有那种妇人的潜质。
[00:44:16.706] 女：哎，我去我希望真的是。
[00:44:18.900] 男：就是他说你。
[00:44:20.181] 女：这是属于什么样的情况呢？
[00:44:23.001] 男：身身弱不胜财，就是你承受不住这份财力。
[00:44:27.500] 男：所以你需要身边有那种火属性或者土属性的人的助力，才能够守住这份。
[00:44:34.205] 女：经常我去。
[00:44:35.800] 男：如果你不信呃的话，那我们从每。
[00:44:38.478] 女：一年开始分析。
[00:44:39.714] 男：2018到2021年。
[00:44:41.774] 女：算了算了算了，那上学说这种话干嘛？
[00:44:44.865] 女：我要听以后从今年开始呃从今年开始这么两。
[00:44:48.920] 男：呃。
[00:44:50.220] 男：那先从25年开始吧，嗯25年的话就是这一年有小的天才或兼职收入。
[00:44:58.060] 男：对吗？
[00:44:59.820] 女：不算好。
[00:45:00.554] 男：26年的话，他会说你呃，有更清晰的理财规划，手中开始有积蓄。
[00:45:07.320] 女：嗯，28年到37年. 
[00:45:09.228] 男：也就是你25岁到34岁的时候，是人生财运的黄金十年。
[00:45:15.429] 男：也就是说你在25岁到34岁的时候，就是你人生中比较容易有财财富的这个时间，你要好好把握住。
[00:45:25.924] 男：听到了。
[00:45:27.220] 女：他说事呃这这阶段有什么特征呢？
[00:45:30.855] 男：呃，事业上将有贵人扶持，获得稳定且有发展的平台。
[00:45:36.308] 男：裁员来入从零散。
[00:45:38.126] 女：转为稳定的政财。
[00:45:39.943] 男：也就是工资收入的项目收益。
[00:45:43.560] 女：教科的嗯是吧？
[00:45:45.056] 女：然后尤其适合。
[00:45:46.553] 男：在文化教育，互联网或工厂农业等领域。
[00:45:50.544] 男：什么怎么。
[00:45:51.542] 女：又是这个？
[00:45:53.180] 男：我不应该就是那个什么平面设计吧。
[00:45:57.300] 男：看你那有能不能。
[00:45:58.495] 女：遇到什么贵人。
[00:46:00.120] 女：困难。
[00:46:01.800] 女：你说你适合。
[00:46:04.100] 男：啊，然后就是。
[00:46:05.351] 女：35岁到44岁. 
[00:46:07.603] 男：他说这个时候你会继续身材，但是会比前面十年有压力。
[00:46:17.560] 女：对呃呃然后35到44岁. 
[00:46:20.733] 男：这个阶段特征是呃财财富来源更加多元化，偏财运势增强。
[00:46:26.593] 女：偏财就是你。
[00:46:27.814] 男：25到34岁是正财。
[00:46:30.660] 女：然后呃35岁到44岁. 
[00:46:34.820] 男：是偏财。
[00:46:36.580] 女：天啊，政府啊正财的话就是。
[00:46:38.761] 男：相当于是工资收入和项目收益这些。
[00:46:41.735] 女：啊自己正经来对，正经来源。
[00:46:43.916] 男：然后偏财的话就是。
[00:46:45.502] 女：意意外业啊，对意外之财和副业。
[00:46:49.160] 男：代表有靠技术。
[00:46:51.146] 女：立志C靠技术。
[00:46:53.133] 男：靠口才、靠创意。
[00:46:56.060] 女：你安排到几点啊，你怎么那么麻烦？
[00:46:58.540] 男：我不知道，我很累。
[00:47:00.840] 女：然后你说两句话，喘个气。
[00:47:03.940] 男：我只是而已。
[00:47:04.866] 女：因为我走路很累，我走路我都累，你每走路你都在那。
[00:47:09.020] 女：是这样吗？
[00:47:10.197] 女：二三年。
[00:47:11.420] 男：呃，不是，他说你第一桶金是2031年。
[00:47:15.000] 男：然后财富的小高峰是三四年。
[00:47:18.360] 女：八一，你好远哦。
[00:47:20.720] 男：五年后啊。
[00:47:22.040] 女：嗯。
[00:47:23.020] 男：然后财运的高小高峰是三四年。
[00:47:29.300] 男：他给你的建议是，有利的方位是南方。
[00:47:33.140] 男：中原或本地。
[00:47:35.340] 女：本地的是哪个工程的地方？
[00:47:37.480] 男：行业选择。
[00:47:39.080] 男：还是那几个文文化教育、互联网科技、能源化工、房地产开发、建筑设计、农业陶瓷。
[00:47:48.820] 男：他给你的意见就是35呃，对，35岁之前。
[00:47:53.112] 女：不要去碰投资。
[00:47:54.468] 男：不要去管其他东西。
[00:47:56.275] 女：我操就是35岁岁之前你就是。
[00:47:59.438] 男：要以储蓄，就是你以存钱，还有以稳健的增值为主。
[00:48:03.957] 女：我去就是你。
[00:48:05.087] 男：35岁之前不要想着投资，你要先呃让就是稳步的往往往上走的同时存钱。
[00:48:12.316] 男：嗯嗯，那时。
[00:48:13.220] 女：15岁之后. 
[00:48:14.350] 男：就可以投资。
[00:48:15.700] 女：嗯。
[00:48:21.260] 男：他说，切忌。
[00:48:23.480] 男：早年不要因为。
[00:48:38.820] 女：我看看这个。
[00:48:39.940] 女：问你哪一款啊？
[00:48:42.020] 女：B2我在B呀，我操。
[00:48:44.800] 女：哎，你这个逼。
[00:48:48.460] 女：我就说提前十分钟，提前提前那么久才发布，我想上厕所不是好，哎呦，你要骑车。
[00:48:56.100] 女：B202。
[00:49:11.140] 女：再看一下健康。
[00:49:22.020] 女：现在去。
[00:49:23.180] 男：他去摆摊的时候，叫那个王德正就看过我。
[00:49:27.680] 男：就是我在澳门也要注意一下。
[00:49:33.720] 男：那年。
[00:49:35.100] 男：等下半年啊，我现在一直在痛。
[00:49:55.020] 女：你没对对。
[00:50:04.020] 女：不会确实变得没有那么。
[00:50:17.980] 男：这里是异步调。
[00:50:29.220] 女：看一下，反正我没事干。
[00:50:31.340] 女：他们语文课程小组都到一块了。
[00:50:36.640] 女：别念了。
[00:50:38.420] 男：我半个。
[00:50:41.020] 女：上海学校。
[00:50:44.580] 女：哎，你知道我早上平常吃个尿憋死。
[00:50:51.620] 男：他问我的问题也找不到效。
[00:50:53.860] 女：你们是什么？
[00:51:09.140] 女：我存在一个。
[00:51:36.340] 女：加油看哦。
[00:51:37.047] 男：我那个健康程度我发给你了。
[00:51:39.170] 女：我还在我还在外面默默。
[00:51:41.080] 女：嗯，好。
[00:51:42.680] 男：你一直在外面等我吗？
[00:51:46.220] 女：嗯，你可以带回来看看。
[00:51:49.020] 男：我会有压力的。
[00:51:52.080] 女：默默的注视我，我大概等一下，反正我。
[00:51:55.540] 女：我想点击，我操，不知道。
[00:51:57.470] 男：什么时候结束。
[00:51:58.756] 女：再看吧。
[00:51:59.560] 女：还有什么你到时候。
[00:52:00.890] 男：如果还有什么想让我帮你算的，我会好好运用我的AI小伙伴的。
[00:52:05.580] 女：我这个也不知道干什么。
[00:52:07.500] 女：嗯，你让我当好了。
[00:52:10.420] 女：没有什么特别想。
[00:52:21.480] 女：那还要我单独，还想让我手不清楚？
[00:52:25.740] 女：嗯，好。
[00:52:26.820] 女：金属类的物件时候，这种东西没伤到我。
[00:52:30.640] 女：没有没有任何事情发生。
[00:54:11.820] 女：哎，前面那个伤感情的给我发一下。
[00:54:15.180] 男：你要多少呢？
[00:54:16.180] 男：是全部发呢。
[00:54:17.180] 女：还是全部发的？
[00:54:20.060] 女：太有意思了，你的AI小伙伴。
[00:54:24.420] 女：你看，这不就又又怂恿。
[00:54:25.743] 男：了一个人。
[00:54:26.331] 女：跟我一起算命吗？
[00:54:27.500] 女：嗯。
[00:54:28.480] 女：你也是不有享福了。
[00:54:32.160] 女：你要你等一下准备一下吗？
[00:54:45.780] 女：然后复制第二个。
[00:54:50.020] 女：有一个死鸟。
[00:54:52.200] 女：吵死了。
[00:54:57.220] 男：呃，第二个没有什么用，或者第三个呗。
[00:55:16.820] 女：那那这个要这个。
[00:55:18.117] 男：的答案要发给你吗？
[00:55:20.940] 女：啊，不用吧，别。
[00:55:24.240] 女：你是这样问的呀。
[00:55:25.860] 女：对你。
[00:55:28.220] 女：算一下财运嘛，财运无所谓，财运有了。
[00:55:32.160] 男：然后这个是饭菜健康也发给你了嗯。
[00:55:36.480] 女：给你看看。
[00:55:37.360] 男：我之前赚的最多。
[00:55:39.580] 女：你还不。
[00:55:40.680] 男：算了很多很多。
[00:55:42.057] 女：到那个上头都算不完。
[00:55:44.122] 男：因为我这个连续了好几年在里面。
[00:55:47.335] 男：我从前年的那。
[00:55:48.712] 女：他他那个记忆不会卡爆吗？
[00:55:51.237] 女：不会。
[00:55:51.696] 男：因为他是第七纪委，支持团队化。
[00:55:55.000] 女：哦，我用CPT聊了几十万字。
[00:55:57.149] 男：到了我又没几十万字。
[00:55:58.762] 男：我每次就是简短的问他，然后他回答一堆而已，你看自己没办法。
[00:56:04.580] 女：那你要给我看看。
[00:56:06.680] 男：给你解释一下这。
[00:56:08.600] 女：你在干嘛？
[00:56:11.840] 女：你你是不是会问球球的问题？
[00:56:16.620] 男：你给他讲。
[00:56:22.020] 男：听说你赔偿证言第一个问。
[00:56:32.020] 男：也是错的。
[00:56:34.620] 男：不断的进化，他跟他纠正。
[00:56:36.940] 女：不容易。
[00:56:38.200] 男：啊。
[00:56:38.403] 女：我记得你会定啊，是不定啊。
[00:56:42.860] 男：要培训的话，我在25年的五月，我就应该遇到我的人。
[00:56:46.580] 男：但是我定制的地。
[00:56:51.940] 男：那他电话那算什么队？
[00:56:54.320] 女：个灯。
[00:56:54.754] 男：就是我觉得很巧的一个点。
[00:56:57.142] 男：就。
[00:56:57.500] 男：因为我之前问过他一个就是我之前去端州玩的时候，嗯，那天晚那天我的背包上挂着一个呃猫头鹰的挂坠，我弟送我的。
[00:57:07.191] 男：然后在我在那个摊位上停留，我想买一个狮子的挂坠的时候，那个猫头鹰突然就掉了，自己掉了。
[00:57:14.904] 男：嗯，哼为什么？
[00:57:15.893] 女：然后我就把这个事情发给DC. 
[00:57:18.464] 男：我问他什么情况，他说这是一种新旧能量的替换。
[00:57:22.560] 男：也就是说，那个狮子头会代替那个猫头鹰的。
[00:57:26.240] 女：嗯，你说你说买的是头吗？
[00:57:28.940] 男：嗯，对我买了八块钱。
[00:57:31.420] 女：可以可以可以。
[00:57:34.460] 男：后面今年今年我发现那个狮子狮子头的挂坠就是。
[00:57:40.180] 男：烂了一只。
[00:57:41.284] 女：他首先他说两个。
[00:57:43.216] 男：睡两两个那种吊起来的那种。
[00:57:46.528] 女：对嘛。
[00:57:47.080] 男：弄坏了一个。
[00:57:49.600] 男：但是我没问他是因为什么。
[00:57:53.700] 男：好，我这边。
[00:57:54.750] 女：准备了啊。
[00:59:19.320] 女：嗯。
