[00:00:01.940] 男：我在偷偷记录。
[00:31:28.720] 男：他他听他听的时候是这种凶哦。
[00:31:35.220] 男：而且不只是七呢。
[00:31:37.980] 女：哎，干嘛了？
[00:31:39.920] 男：你要听啊。
[00:31:43.800] 男：你要听的话，我可以说啊，我我我无所谓了。
[00:31:46.993] 女：你说我我听听看。
[00:31:48.307] 男：他他拉他不是拉着我站起来吗？
[00:31:50.749] 男：啊，我以为金子是那种。
[00:31:52.580] 男：象征性的贴一下嘴巴就好了啊，他直接把舌头伸进来了。
[00:32:04.960] 女：这种行为很难。
[00:32:06.138] 男：让我跟他这个人联系在一起。
[00:32:08.494] 女：你知道吗？
[00:32:10.340] 男：所以我觉得各位工友有必要告诉你这个事情。
[00:32:17.220] 男：而且而且挺美，而且挺不错的。
[00:32:22.080] 女：没有扇他一巴掌。
[00:32:24.800] 男：你知道我醉到什么程度吗？
[00:32:27.103] 女：你喝了几瓶啊？
[00:32:28.740] 男：两瓶半。
[00:32:30.720] 女：白酒。
[00:32:32.200] 男：Vivo. 
[00:32:33.420] 男：我的。
[00:32:35.420] 男：我被抓了。
[00:32:37.380] 男：他知道我酒量很少的，就是从就他已经知道你是我。
[00:32:41.225] 女：沉醉的情况。
[00:32:42.140] 女：他他他从听到。
[00:32:43.239] 男：我要买酒没有，自从我开始，他的心里面就已经盘算着这个事情。
[00:32:52.020] 男：然后。
[00:32:55.060] 男：然后哎呀哎呀，反正差差点差点差点听耳朵了吧。
[00:32:59.800] 男：然后然后然后他，然后然后当时我估计在在在在。
[00:33:04.480] 男：就是我意识到我有抱着他的手在抖，然后他就问我，你是不是你是不愿意吗？
[00:33:09.923] 男：还有就是你你不喜欢这样吗？
[00:33:12.030] 男：但是他还是在做，然后呢，我们坐下来，他这样，他就把我的腿搭在他的腿上面，然后就。
[00:33:18.180] 男：然后那个时候他说他说能不能摸一摸，然后我当时好像也没有表示同意或者拒绝，然后他说能不能继续往下做，然后他就说我我就说我我不知道，他就说如果如果如果你觉得那那这样的话，如果你觉得不舒服的话，那你就跟我。
[00:33:34.220] 男：他对着一个不省人事的人。
[00:33:36.620] 男：去进行这些行为，然后然后让我进行手动的拒绝。
[00:33:40.362] 男：你你知道这这个多恐怖吗？
[00:33:42.420] 男：诡异，我觉得你知道这个多恐怖吗？
[00:33:49.200] 男：我还得感谢他，还有点良心。
[00:33:51.154] 男：当时我那个状态，他想找什么样都可。
[00:33:56.600] 男：你知道我做到什么程度吗？
[00:33:58.882] 男：当时当时是。
[00:34:00.460] 男：我坐在那里还没有什么感觉，从那从那边回到学校，大概十几分钟车程。
[00:34:06.060] 男：然后然后从那个华池的门口走到我们宿舍，我应该也就五六分钟左右。
[00:34:11.960] 男：然后但是但是但是那天晚上从华池我走到走到下面的上面的楼梯，走了快20分钟。
[00:34:19.540] 女：那么对啊。
[00:34:20.640] 男：然后然后走到那个楼梯的时候，我直接就。
[00:34:23.880] 男：就是跪下来，然后然后那个那个额头就就贴在前面的那个那个楼梯上，是你已经醉。
[00:34:31.143] 女：到站不稳。
[00:34:31.998] 男：的程度了，是吗？
[00:34:33.420] 男：我最终会直接浮在地上，而且这个是在他亲我。
[00:34:37.720] 男：听我之后会。
[00:34:39.380] 男：那我都快半个小时之后，我的状态。
[00:34:44.640] 男：你快倒退一下我之前是什么状态吧。
[00:34:54.020] 男：担心我，我还能不断的拒绝他他还是往下推进了。
[00:34:59.820] 男：你要你要以我最后的一次同意作为他可以可以这么做的一个标准。
[00:35:11.840] 女：啊，他的脑回路里到底是什。
[00:35:15.700] 男：他刚跟我表白没多久，就不问我要不要过夜。
[00:35:18.620] 男：出去玩，然后然后然后然后他提完我之后，我我没有力气，我我就睡在那个椅子上。
[00:35:23.938] 男：他说你要他要不要回学校？
[00:35:25.711] 男：学校其实就是说你不想回学校，就我们可以专门找个地方住。
[00:35:29.920] 男：问了我两遍。
[00:35:32.560] 男：如果如果如果当时当时我没有在。
[00:35:36.180] 男：我没有拒绝他他真的会把我拉走了。
[00:35:38.780] 男：然后他就快离离学校只有几几十米。
[00:35:43.660] 男：当时我就稍微清醒了一下下，我问他现在到哪儿了，他快到学校。
[00:35:48.562] 男：我说，那我们还回去吗？
[00:35:50.600] 男：就是已经领到学校了，他还想着可以不回去。
[00:35:54.600] 男：还有什么就是就是我我对了另外一个体验，就是我我上电瓶车之后，他他让我扶着他。
[00:36:00.840] 男：然后就是就是就是那个手就搭在上面。
[00:36:04.680] 男：他他刚把我的手拉伸，我就总是躺下去，然后我的头就。
[00:36:09.320] 男：就就会往下滴，快快滴到他腰那里了，然后他无论。
[00:36:14.100] 男：怎么跟我说话，我听见了，因为我知道该说什么，但是我没有，就是连句嗯都表示不出来。
[00:36:20.400] 女：这个也很对了。
[00:36:21.480] 女：对。
[00:36:22.680] 女：他不会单做，你同意吧，你不回答。
[00:36:25.161] 女：他不会单做，你同意吧。
[00:36:28.120] 男：我在那个时候一直在说不同意啊，我都我都这样了。
[00:36:32.421] 女：我就是你对的。
[00:36:33.650] 男：你对的时候，我对的时候，我都一直在说你不行，我我说不，我不想啊，我在生气。
[00:36:40.320] 男：然后然后我甚至还还还能还能跟他说，你没有做好准备。
[00:36:46.000] 男：你没有考虑好，不可以这样做，我都这样了，他还在往下推进。
[00:36:54.420] 男：然后完了之后，他不但没有任何的反省欲望，他还他还在处于那个性欲上火的状态，说我对你有种你欲望，想跟你做进一步更亲近的事情。
[00:37:03.573] 女：他听的时候就跟你说了。
[00:37:05.207] 男：在那知那知道他送我回宿舍之后，他给我发小作文。
[00:37:12.840] 女：他当时喝酒了吗？
[00:37:14.560] 男：喝了一瓶，但是他说他很清醒。
[00:37:17.700] 女：他酒量应该。
[00:37:18.960] 男：酒店喝个五六两白酒都喝不醉的那。
[00:37:21.841] 女：他那天晚上喝的啥啤酒还是没有呃。
[00:37:24.722] 男：每天晚上就是你喝。
[00:37:26.259] 女：那个叫什么微醺的时候。
[00:37:28.920] 女：你喝了两瓶。
[00:37:29.911] 男：每天的前天晚上。
[00:37:31.740] 女：他听你的天那天晚上他喝的酒嗯他听你的那天晚上他喝的酒。
[00:37:36.350] 男：就这一罐白啤酒啊，很早之前他就喝完了，所以这个不影响他的。
[00:37:48.280] 女：很危险。
[00:37:52.300] 男：这个行为本身对我来说没有更多什么伤害，但是我觉得。
[00:37:56.240] 女：就你能从这个行为中看出来，他是一个很恐怖。
[00:38:01.540] 男：也因为也也也有因为他他其实有在问我的意见吧，就是这个还蛮重要的。
[00:38:06.952] 男：虽然说他这个行为确实就是这太恶劣了。
[00:38:14.220] 男：如果如果那天晚上但凡再呃再早一点，他说不定就就解开我扣子了。
[00:38:24.260] 男：他他他不但没有一个停止，因为其实停止了一个念头，他甚至还在想我们之后可以继续做进一步经历的事情。
[00:38:33.240] 男：然后这是约，就是约我这个周末一起去看樱花，把这些东西都聊得清楚。
[00:38:51.080] 男：很吊诡的一点就是。
[00:38:56.020] 男：就是在学业，还有一些。
[00:38:58.800] 男：那一些工作上面，我还挺需要他的帮忙的，但是我又想让他直接这么死了算了。
[00:39:09.180] 男：他他甚至就是把这个好像当成某种情侣之间的小打小闹，就好像我在闹别扭。
[00:39:14.980] 男：他他他觉得这个事情最坏的后果就是我我不理他了，我生他的气。
[00:39:21.560] 男：然后然后然后他他叫我给他机会，让我原谅他问的那几个问题。
[00:39:27.680] 女：这重点都不是那几个问题啊。
[00:39:29.806] 男：重点不是那这几个问题，他他的意思是他这么做就是对的。
[00:39:34.380] 男：他他说可以这样做。
[00:39:36.360] 女：他从头到尾给你的小作文里面都没有提到他签的这件事，简直是错的。
[00:39:41.093] 女：什么？
[00:39:41.720] 女：从头到尾都没有提到过。
[00:39:43.490] 男：他讲了他他说了他他他。
[00:39:45.400] 男：他当时就说了，他他为什么亲我就是他。
[00:39:48.720] 男：全都是以他为本位的。
[00:39:50.537] 男：呃，我不清醒的是我觉得不能轻易，我清醒的时候觉得我可以承受后果，特别轻。
[00:40:06.220] 男：就就前一天晚上在那跟我说，那个傻逼男。
[00:40:10.080] 男：什么法律呢？
[00:40:12.060] 男：头上那个草地啊。
[00:40:21.980] 女：一会，公司边走边说。
[00:40:24.020] 男：走了。
[00:40:28.320] 男：真他妈的堵死了呀。
[00:40:32.120] 女：很诡异啊，我觉得前一天晚上跟后一天晚上完全都不是同一个人。
[00:40:36.170] 男：他们都不是我跟你讲。
[00:40:40.120] 女：太诡异了，我觉得。
[00:40:43.520] 男：然后我就花了两天时间思考它它是一个什么样的规模式。
[00:40:48.420] 女：那你今天的思考。
[00:40:51.480] 女：你想要怎么去对待他？
[00:40:53.332] 女：我对待它。
[00:40:54.156] 男：这个我还。
[00:41:10.620] 男：就是这种人，哪怕跟他说你不想想。
[00:41:13.460] 男：等我老公，你说他学的话有各种。
[00:41:20.000] 男：好好恐怖。
[00:41:40.780] 男：啊，肯定没拿。
[00:41:56.860] 男：我拿走了。
[00:42:02.640] 男：你根本都没有。
[00:42:05.380] 男：你那个是你洗发带不？
[00:42:19.280] 男：他没有考虑好你。
[00:42:24.760] 男：那就不要后羿，你知道吗？
[00:42:26.296] 男：你知道吗？
[00:42:26.910] 男：他多傻逼，他因为这个事情觉得不知道怎么面对我，因为我们可能不能走到会长。
[00:42:34.660] 女：也就是说因为这因为你跟他观念不一样。
[00:42:37.550] 男：所以他不知道怎么面对。
[00:42:39.250] 女：你不知道要不要不是接下去。
[00:42:41.290] 男：不是是因为那个什么。
[00:42:43.020] 男：我们有可能走不到未来，不可能一直可能不能一直走下去。
[00:42:46.765] 男：他会走下去，他不知道怎么面对我。
[00:42:48.950] 男：我们知道他是觉得如果不能一起走到未来，现在就不要开始了，是吗？
[00:42:53.600] 男：他就他他觉得可能觉得我我我这个价值来说就已经完全不一样了。
[00:42:59.060] 男：我问他，如果如果说如果我对未来的打算让你不满意了，那你要怎么面对？
[00:43:03.816] 男：你要那你要怎么去处理我们之间关系呢？
[00:43:06.511] 男：他说我不知道，好像对于他来说，我跟他之间的唯一的。
[00:43:10.140] 男：就是我对他来说没大作用，就是跟他走到未来，给他跟他走到未来。
[00:43:16.060] 男：傻逼吧，我感觉他是属于他是属于那种。
[00:43:18.922] 女：如果你不跟他走到未来，他都不可能开始的那种人。
[00:43:23.160] 男：还不大呀。
[00:43:25.060] 男：那这个抹茶。
[00:43:27.820] 男：到底谁把我给钱的意思？
[00:43:34.060] 女：可能你们俩就是基础的观念都不一样。
[00:43:36.965] 女：他会觉得如果你喜欢一个人的话，要规划跟这个人的未来。
[00:43:41.323] 男：那我知道啊，那我就是跟他谈这个东西啊，我说我愿意跟他待在当下，然后然后过完这个。
[00:43:48.000] 男：就是就是这个东西是我们我们我们正在商量的，就是还没有说嗯完全的交流。
[00:43:53.731] 男：好，我们是打算怎么找个时间去把这个东西掰扯清楚，然后看看我们现在怎么相处的。
[00:44:00.240] 男：就是这个是地形石的一个墓墓地。
[00:44:03.300] 男：然后然后然后他突然约了出来，问了那两个傻逼问题，然后就。
[00:44:07.820] 男：就是就是就是支付了这个事情。
[00:44:10.880] 男：好。
[00:44:14.380] 男：然后完了他说听完之后，我我我知道要怎么跟你相处了。
[00:44:18.490] 男：我下定决心。
[00:44:19.384] 女：他下好下好什么决心了。
[00:44:21.171] 男：我要跟你我要当下陪着你，就是带你吃好吃的，然后去更多好玩的地方，跟你进行做更亲密的事情。
[00:44:29.180] 女：也就是说他不去想未来了，他想当下了。
[00:44:31.758] 男：对他想他就他亲了我一下之后，他就想当下。
[00:44:37.380] 女：这是什么开关吗？
[00:44:38.524] 女：你的嘴巴是什么开关吗？
[00:44:42.100] 男：What happen? 
[00:44:44.860] 男：可能激起了他的保护欲吧。
[00:44:47.760] 女：我不懂哎我真的不懂。
[00:44:49.328] 男：我跟他说我跟他说，我说你我我不是那种在你的叙事里面那种需要被保护的人。
[00:44:55.260] 男：什么为什么什么什么你什么为什么你要保护我什么？
[00:44:58.956] 男：如果我给你足够的安全感，你能不能就是不要跟那个人关系这么亲密，我们肯定是不会失望。
[00:45:07.960] 女：但其实我很好奇一点，就是如果你未来就是没有发生那些事情，那你会怎么处理他跟那个那个人的关系啊？
[00:45:16.940] 女：就是如果没有发发生前天是前天吧，如果没有发生前天的事情，你跟他还是继续慢慢推进的。
[00:45:23.904] 女：重点不在我。
[00:45:24.820] 男：重点是他在一生他是怎么理解这个东西的。
[00:45:29.740] 女：我的意思是你会。
[00:45:31.480] 女：怎么在他和他之间平衡？
[00:45:34.300] 男：这个我也不太清楚，这个这个就是我我觉得我我我要面对考虑的问题，这个就是我要去学习的面对的课题啊。
[00:45:42.360] 男：这个我我觉得是。
[00:45:44.760] 男：是可以去学校是怎么样的？
[00:45:50.620] 男：还没谈到这一步呢，就是张艺轩，他就因为有有有这么一个人存在破防了。
[00:45:57.320] 女：他有什么资格过吗？
[00:45:58.392] 女：你们了解没到那一步。
[00:46:00.560] 男：但是在他的心里面，我们就是应该到那一步。
[00:46:04.300] 男：他对我充满了某种占有欲吧。
[00:46:07.460] 男：然后这种这种因为我在跟他的相处之中，居然看不出来。
[00:46:13.040] 女：没有啊。
[00:46:16.260] 男：人不行啊。
[00:46:17.940] 女：不行。
[00:46:20.020] 男：很可亲了，听了之后我真的可亲了。
[00:46:23.017] 女：连那个亲，谁说那个亲不是那个亲。
[00:46:26.015] 男：他那个不知道。
[00:46:27.440] 男：哦，但那个时候我我不想跟他亲的最直接等于是什么？
[00:46:31.440] 男：嗯，喝完啤酒水之后吧，我操好痛啊。
[00:46:36.300] 男：正常说话距离都能闻得到，真的吗？
[00:46:39.596] 男：真的好踏实。
[00:46:40.774] 男：对啊，那我怎么可能会答应啊。
[00:46:46.800] 女：求你个问题，你以后遇到点正常人吗？
[00:46:49.689] 女：那不行那不行。
[00:46:50.845] 男：我给你介绍几个吧。
[00:46:52.386] 男：不行啊，你给我介绍啊，我我觉得是挺好的，不要碰。
[00:46:59.480] 男：我我跟他保持这样的关系对我来说就很perfect了，能不能不要考虑什么结婚呢？
[00:47:07.480] 男：我我还我还我还在感慨，哎呀，我操大哥看到单身太太辛苦了。
[00:47:12.680] 女：一开始的时候我也觉得这是挺幸福的，直到你今天晚上。
[00:47:16.885] 男：听你说这是。
[00:47:18.820] 男：他真的感慨心口感慨说为什么电梯里面是遇到这种自信的人，为什么一定是你啊，怎么都发生你失态了，操你妈，但是你看你作死打电话。
[00:47:28.820] 男：我操他在跟我说什么，你你你怎么想我的你我有什么话我都接受。
[00:47:33.513] 男：我跟你说，我但凡跟他说你这个信号好坏，你你那天晚上非常恶劣的。
[00:47:38.660] 男：呃呃，对我对我实行了这个这个这个没有，就是就是一个非常符合伦理规范的这么一个情况。
[00:47:46.349] 男：然后你看你看它破不破，弹起来。
[00:47:49.120] 女：你赶紧跟他说吧，我很好奇他后面的房房。
[00:47:52.780] 男：我很好，我很好奇他后面的那个。
[00:47:56.720] 男：就是我很好奇你这句。
[00:47:58.731] 女：话能记起他他怎么。
[00:48:03.380] 男：他得破，他得哭了，我操哭他自己。
[00:48:06.006] 女：该干的事情，他凭什么没有没有那个什么。
[00:48:10.560] 女：让他哭呗。
[00:48:18.240] 男：但是跟我说鸡毛呢，烦死他了，还要给你发信息了，那样就门锁的事情。
[00:48:28.100] 女：怪不得怪不得你还要找我拿钥匙，不找他拿。
[00:48:34.020] 男：长大了我都烦。
[00:48:35.760] 女：跟他说，你可以跟他说你的。
[00:48:38.960] 女：刚刚说的话觉得他是性骚扰这个话我觉得你可以跟他说，哎。
[00:48:43.516] 男：我没没事没事，我先我先吊着他，让他难受几天。
[00:48:47.200] 男：我其实心里已经编辑好了哦，你已经想好。
[00:48:49.976] 女：要跟他说这件事情。
[00:48:51.283] 男：我我已经编辑好了哦，你那你晚晚几天再发，反正我就吊着他，我想着跟他说，我都烦，我有事情要做的。
[00:49:02.760] 男：好。
