[00:00:02.540] 女：最高的两个。
[00:33:59.260] 女：啊。
[00:34:04.040] 男：其实讲真的，就是我你给我的第一印象，你是你你你觉得我我是怎么想？
[00:34:10.380] 女：你怎么想的？
[00:34:11.194] 女：我我你给我的第一印象。
[00:34:12.823] 男：我觉得你很适合当导演。
[00:34:14.452] 男：我不知道为什么会有这种，因为因为。
[00:34:16.896] 女：因为我是说如果你。
[00:34:19.180] 女：然后你长大，但我不知道你是想就是让他作为一个副业当副业吧。
[00:34:24.192] 女：主业不可能不要当主业感觉的。
[00:34:26.606] 女：那么主要的意思是说补充项目。
[00:34:29.160] 女：那我肯定是我的原件已经规定好大半天，就是已经是搞创作了。
[00:34:36.260] 女：提供给我。
[00:34:37.620] 女：保养物质的一个最基本的保险。
[00:34:40.940] 女：所以，如果你也认定了，你一辈子还是要跟女人学为五。
[00:34:44.580] 女：那你就要考虑清楚要不要工作上面往这方面倾斜。
[00:34:48.423] 女：比如说像做编辑或者做老师。
[00:34:52.400] 女：我跟这个外国当官。
[00:34:54.700] 女：那你自己像不像小。
[00:34:57.400] 女：以后比谁更擅长。
[00:34:59.193] 女：如果需要做编辑，做基础教学测试。
[00:35:03.820] 女：你想多少赚不到多少钱。
[00:35:09.420] 女：很累，别问。
[00:35:11.080] 男：公公务员适合吗？
[00:35:12.713] 男：就是如果我还想找工作的。
[00:35:16.420] 女：为什么你会觉得我不好的？
[00:35:18.660] 男：就是你给我的第一感。
[00:35:22.520] 男：这是一种感。
[00:35:28.460] 男：导演不是导演。
[00:35:30.520] 女：你没当过导演，我就当过。
[00:35:32.540] 女：六号我不要干。
[00:35:37.480] 女：我回应。
[00:35:40.280] 男：桂林真的是。
[00:35:44.720] 男：何以林不是去考了导就学，参加学校那个导游培训吗？
[00:35:49.660] 女：可是我觉得这港的这个行业越来越。
[00:35:52.180] 女：微信。
[00:35:55.620] 女：你你要真的真的死，你就得抽。
[00:35:59.240] 女：这个中间有点就是。
[00:36:01.760] 男：合作合作要一个点。
[00:36:03.794] 女：可是你你如果这样做的话，你就。
[00:36:11.300] 女：我有一个大爷就好。
[00:36:13.340] 女：设计问题。
[00:36:16.840] 女：除非你自己带。
[00:36:18.320] 女：现在的话。
[00:36:19.720] 女：违规的。
[00:36:21.340] 女：没有是吧，没有那个旅行社给你提供保。
[00:36:24.560] 女：就给我。
[00:36:26.600] 男：那个导游我感觉那种你还要有一定的知名度，对，不然一个人很容易饿，会发现有个工作还不错。
[00:36:33.992] 女：就滑雪叫那。
[00:36:35.700] 女：他们只需要工作四个月。
[00:36:37.992] 男：三个月。
[00:36:39.680] 女：然后剩下全部是我。
[00:36:42.480] 女：你会滑吗？
[00:36:43.450] 女：你这边目。
[00:36:44.560] 女：所以我只是说发现了一个大的职业啊，可以作业。
[00:36:48.713] 男：谁去学什么滑雪？
[00:36:50.166] 女：我会啊。
[00:36:50.789] 男：你真会啊，我老家那附近有滑雪场啊，去吧。
[00:36:54.460] 男：那不明白他。
[00:36:55.615] 女：卖炒饭吗？
[00:36:56.780] 女：他是河南，你白菜卖炒饭吧。
[00:36:59.406] 男：河南那边有。
[00:37:03.500] 男：还是开玩笑。
[00:37:05.360] 女：我以前想做的。
[00:37:06.920] 男：什么呀。
[00:37:07.751] 女：我没听清。
[00:37:08.860] 女：白糖卖炒饭还好。
[00:37:11.840] 女：还好没有我前两天。
[00:37:13.386] 男：还在帮社会的。
[00:37:14.546] 女：不安定因素又多了一个。
[00:37:16.620] 男：我前两天看到。
[00:37:17.910] 女：过很多画面了。
[00:37:19.200] 男：去摆摊玩的那种，你看过我的。
[00:37:21.780] 女：朋友圈啊？
[00:37:24.040] 女：我懂了我懂了。
[00:37:25.116] 男：没吃过的话怎么办啊？
[00:37:26.732] 女：我没吃过。
[00:37:27.450] 女：他说他从他说他从今往后再也不让学生去他家了，连我们都不让。
[00:37:32.296] 女：你知道他有多恶心吗？
[00:37:33.911] 女：我们跟他这么久了，我们跟他三年了，走了之后我就下定。
[00:37:38.240] 女：你们到底对他做了什么关隘？
[00:37:40.104] 女：因为我其实当时留下的心里就很。
[00:37:42.440] 女：空调关关爱。
[00:37:44.016] 男：空巢老人都可以喝。
[00:37:53.160] 女：就是因为你们，那我们都没有办法去他家。
[00:37:56.960] 男：关爱。
[00:37:59.220] 女：也是有关系啊，那那那是对。
[00:38:03.320] 女：因为那真的很热闹。
[00:38:05.060] 女：也会，那我们也想再去。
[00:38:08.460] 女：野炊可以，就是你在野炊。
[00:38:14.260] 女：我还没见过你湖公园那种。
[00:38:16.600] 女：等春天来吧。
[00:38:18.620] 女：这这场寒潮过了之后吧。
[00:38:21.260] 男：我可以给你们摇麦。
[00:38:23.340] 女：好呀。
[00:38:28.220] 女：好几年前办过一。
[00:38:30.840] 女：我真的还记得之前说。
[00:38:33.020] 女：台风。
[00:38:34.120] 女：然后至今没彩神。
[00:38:35.800] 女：你们学校不给批评费，学校不批了。
[00:38:40.780] 女：实际上是这样的。
[00:38:48.160] 男：下午没有啊，这两天下午阴天没有。
[00:38:54.820] 女：在学校好像。
[00:39:03.280] 女：哦，你真的会给我5万？
[00:39:05.300] 女：这首歌这首歌。
[00:39:08.340] 女：对，他们发也看这五百。
[00:39:14.200] 女：为什么文学作品不给啊？
[00:39:15.923] 女：因为他。
[00:39:16.580] 女：没有那么难。
[00:39:20.380] 女：难，我听到的消息是说，因为他们发的他。
[00:39:23.920] 女：事业单位是华家能够给华。
[00:39:26.780] 女：因为因为文学作品里面不会标。
[00:39:29.260] 女：对，所以。
[00:39:33.480] 女：那你会有奖励吗？
[00:39:34.687] 女：就是你带的学生的是。
[00:39:36.440] 女：你怎么什么都都怎么什么都不给你我没有奖励。
[00:39:40.161] 女：但是呢可能说也不是说没有奖励吧，就是呃领导会看到哎这个老师呃他带来那么多学生发表，让他的平民都等。
[00:39:48.940] 女：的病情也因为受良好。
[00:39:52.220] 女：会多一点吗？
[00:39:53.447] 女：不愧是黄赫斌的学生，那就生病。
[00:39:57.180] 女：就可能会让我往优秀上面进，其他老师不带，那就你就你带，那你就会很明显，那会有多一点的钱吗？
[00:40:03.920] 女：但是如果田老师有发论文呢，他也。
[00:40:07.200] 女：联盟号的。
[00:40:08.700] 女：至于你对这个学院的贡献。
[00:40:11.100] 女：那你问一下队友会多给会给别人。
[00:40:16.020] 女：呼呼呼。
[00:40:17.100] 男：我们那一次他在分活动。
[00:40:18.976] 女：我们已经变成钱了。
[00:40:20.477] 男：变成他的钱了。
[00:40:21.603] 男：分活动室的时候。
[00:40:22.917] 女：陈刚还专门啊对专门Q了我们11年。
[00:40:26.460] 女：你知道这个过年，去年我还被评。
[00:40:31.020] 女：为啥呀？
[00:40:31.530] 女：所以根本不在于我那年有没有带学生发表，没有每一年都带那么多学生发表。
[00:40:37.320] 女：那现在那在于因为因为有个领导啊有个领导教授来听。
[00:40:42.260] 女：跟你干得很很很有那么好。
[00:40:46.000] 女：因为我们那一期都是年轻老师，他们。
[00:40:49.440] 女：然后。
[00:40:50.780] 女：跟跟老年老师在一起。
[00:40:57.660] 女：一群老的。
[00:40:59.140] 女：谢谢老公。
[00:41:01.380] 女：不是不是在课堂上听哦，是专门开了一个讲课的。
[00:41:05.940] 女：那个是是类似试讲博客。
[00:41:08.880] 女：然后呢，就专门请了一天。
[00:41:15.500] 女：就讲一段，然后。
[00:41:17.400] 女：陈述一下你设计这个课程。
[00:41:19.560] 女：但真实上真实上专家比如说那个名字内容评估嘛，专家真正来只会去进到课堂。
[00:41:27.880] 女：只会进到课堂去听课啊，他不会给你有什么机会讲一下我的。
[00:41:33.380] 女：所以这就很。
[00:41:34.440] 女：形式化的东西，就用这个形式化的东西，导致我没有办法拿到更。
[00:41:40.460] 女：我也给了。
[00:41:44.520] 女：其实我知道。
[00:41:47.020] 女：这些渠道如果被发现的话，本来就没有。
[00:41:49.300] 女：你活该你活该。
[00:41:50.665] 女：我至今都记得你你上你上我们的课，我们迟到了巨久，一节课的真的巨久，30个年。
[00:41:58.540] 女：我不知道，我忘了。
[00:42:00.260] 女：反正我记得很久。
[00:42:01.456] 女：然后那个督导他一开始过来的时候，他其实督导他他是他是前院长。
[00:42:06.460] 女：他前隔壁学院院长，而且出了名的严格。
[00:42:10.460] 女：那他刚才我对你做什么吗？
[00:42:12.330] 女：没有，他都说你很感谢你的。
[00:42:14.860] 女：感谢你的选择啊，这句话我听过。
[00:42:17.900] 女：他因为他当时你过来的时候，全班真的异口同声，老师，他去上厕所。
[00:42:26.040] 女：一直没回来一直没回来，然后然后好像是后面他可能可能这个这个老师还一直在等，然后你一直没回来，他可能也也担心我们一个人，也担心我们一直在那里坐着没事干的。
[00:42:37.499] 女：然后他在那里跟我们聊天，对他上去。
[00:42:40.320] 女：我当时就是加了他微信，然后跟他说一下感谢。
[00:42:44.900] 女：他说你跟现在的学生。
[00:42:46.960] 女：如果不是你们维护我，他可能就要把我。
[00:42:49.900] 女：来了。
[00:42:51.280] 女：应该会到。
[00:42:54.400] 男：开开。
[00:42:55.460] 女：因为他这个算这个是重的。
[00:42:58.880] 女：大道。
[00:42:59.920] 男：这么严啊，学校的考核。
[00:43:02.600] 女：不到啊三分钟就放学，学校都是这样的，你你换到中学学校也是这样，三分钟以内是一分钟。
[00:43:09.340] 女：呃，中学是中学不会中学不会。
[00:43:11.585] 女：我们学校是这样，我们老师不可以迟到的，我们老师迟到一会儿没事。
[00:43:16.823] 女：如果是中学的话。
[00:43:18.133] 男：我们我们大二的时候也有一个教当代文学的老师。
[00:43:22.062] 女：和几补课。
[00:43:22.810] 男：了也迟到了一节。
[00:43:26.560] 女：有没有听说过一个一一个老师，你们有没有听说过一个老师？
[00:43:30.080] 女：也是华山的老票先。
[00:43:31.800] 女：但是他应该比你更人，更无虚，但他没有被发现。
[00:43:35.200] 女：就是我不认识这个老师，我只是听人家说过他的事。
[00:43:38.591] 女：就是说他上来讲课，讲着讲着讲着，然后他就说让让学生自己看，然后他去买菜。
[00:43:46.760] 女：我不知道哪个谁问的，我就是听说会有这个事儿，他去买完菜之后再回来继续放。
[00:43:53.760] 男：我操，这个真离谱吧。
[00:43:55.062] 女：对我当时听到的时候我都懵了。
[00:43:57.320] 女：但是我但是我不知道是谁，就是我上次。
[00:44:01.420] 女：我知道。
[00:44:02.620] 女：你干嘛呀？
[00:44:04.760] 女：你怎么天天这个头。
[00:44:08.660] 女：早点睡吧，要不你多设几个闹钟吧，之前不也因为睡觉嗑过我们吗？
[00:44:13.940] 女：问你好像是胡。
[00:44:15.276] 男：红梅老师哪次。
[00:44:16.613] 女：忘忘记了，你说好像给我们讲了，好像叫你叫你过来干嘛，你说他睡觉去了，知道你说你要睡觉。
[00:44:25.300] 男：他他记错了，他他他把平时。
[00:44:27.545] 女：会有关双周的。
[00:44:28.770] 男：课记成单周的。
[00:44:29.995] 女：但我记不清没记得是什么事，应该是师会他睡过了。
[00:44:34.283] 女：然后当时。
[00:44:35.240] 女：他刚才说好像那你怎么还没发现，你怎么还没发现？
[00:44:39.052] 女：他说他要提前到，他说你们到的时候叫我一声，叫我过去。
[00:44:43.227] 女：对，然后我们到了之后给他打电话。
[00:44:45.769] 女：喂，老师，我们都在。
[00:44:47.540] 女：还没睡哦。
[00:44:50.900] 女：我还没定。
[00:44:53.000] 女：我笑死了。
[00:44:54.480] 女：干嘛呢？
[00:44:55.332] 女：你俩。
[00:44:56.980] 男：抠手指头。
[00:45:01.060] 女：一个。
[00:45:03.080] 女：感觉选择就业选择感。
[00:45:04.997] 男：感觉鱼好亢奋啊。
[00:45:06.489] 女：上班的人不都这样吗？
[00:45:08.407] 女：没上班，刚刚刚想问你最近在忙什么？
[00:45:11.603] 女：对啊，鱼你最近在忙什么？
[00:45:13.734] 男：在哪里发财？
[00:45:15.860] 女：这个声音挺好听的对。
[00:45:18.440] 女：这个多少钱？
[00:45:22.680] 女：不应该有少。
[00:45:25.480] 女：那李浩田到底是什么人？
[00:45:27.840] 女：十号桶好熟啊，他名字。
[00:45:32.560] 男：我也听过这个人。
[00:45:34.320] 男：我听过他的名字，听过几次。
[00:45:36.601] 女：在群里说了好多次。
[00:45:40.080] 女：对他到底是啥呀？
[00:45:41.709] 女：他到底是。
[00:45:42.840] 女：他到底是什么呢？
[00:45:44.713] 女：对，什么家底哦。
[00:45:48.060] 女：我什么都不知道。
[00:45:49.838] 男：江城天少，不能说很费劲。
[00:45:52.920] 女：听不懂话吗？
[00:45:54.300] 女：他们。
[00:45:55.640] 男：有点有点健忘哦，是昨天你提的那个。
[00:46:00.580] 男：我江城禽兽。
[00:46:04.620] 女：有点健忘。
[00:46:07.980] 女：那你也要跟他沟通吗？
[00:46:11.000] 男：之前。
[00:46:12.020] 男：跟他们工作都肯定沟通过啊。
[00:46:18.840] 男：嗯，不是，还有个慢。
[00:46:22.980] 女：那是。
[00:46:26.620] 女：因为你这里面是怪怪的。
[00:46:33.560] 女：那我再换吧，反正。
[00:46:35.160] 男：反正他联系他的大哥。
[00:46:42.560] 女：之前比赛都是。
[00:46:44.010] 男：有实战的帮的。
[00:46:45.800] 男：你要这次轮到他去补办。
[00:46:51.040] 男：过了，但是没要到手。
[00:46:52.520] 女：去了多少？
[00:46:54.140] 女：让他等分巨高。
[00:47:00.380] 女：没要到10。
[00:47:01.900] 女：因为之前不能一点点的。
[00:47:06.020] 女：这当然是文学。
[00:47:12.300] 男：你是讲。
[00:47:15.640] 女：你们是什么色的？
[00:47:17.600] 女：忘了忘了忘了。
[00:47:25.840] 男：我说是。
[00:47:27.020] 男：我很快乐的。
[00:47:32.940] 女：高校怎么办啊？
[00:47:40.160] 男：一般都是有。
[00:47:43.600] 女：他没有高效成绩的高校是哪？
[00:47:53.540] 女：俄罗斯贝。
[00:47:55.980] 女：在干在。
[00:47:57.380] 女：可以。
[00:47:59.560] 女：今天是讲的。
[00:48:05.560] 女：他可以拌饭，能不能办理那个？
[00:48:08.620] 女：思想电影。
[00:48:11.340] 女：但是这个赛还有比赛。
