[00:00:00.080] 男：Ok. 
[01:05:48.980] 女：但是呢但是呢当我。
[01:05:50.599] 女：但但我但但我相对来说没有那么有。
[01:05:55.159] 女：就是相对来说变变得脆弱了，变得弱势了。
[01:05:58.770] 女：嗯，然后他他他他他那个时候就亲我了，就就变得。
[01:06:03.319] 女：相对市里增长很多。
[01:06:05.559] 男：顺理成章呀。
[01:06:09.879] 女：呃，他他他他他他就想听。
[01:06:12.959] 女：对，然后然后然后然后然后我说那个，然后他估计又想了一天，就想啊我怎么怎么和和和莫老师相处啊，哎呀怎么办呢？
[01:06:22.625] 女：然后他他他他他的意思里面就是可能要靠某些行为去印证他吧，他应该也一直想要更进一步。
[01:06:30.619] 女：哦，嗯然后他就想到哦，喝酒了，喝了那那就能听了的，就说不定他他应该就是怀有那种期待嘛。
[01:06:41.859] 男：我觉得应该是。
[01:06:45.099] 男：就是。
[01:06:46.659] 女：就是就是就是你知道啊，一个一个是就是我我跟他明确表明了有一个C的存在。
[01:06:53.073] 女：嗯，然后然后然后然后我们之间那那种价值观间的冲突，然后他他他我没有明说，但是你从他可能知道他他已经知道我们不会在一起了也很有可能我们俩没有办法发展的心理关系。
[01:07:07.652] 女：嗯，但是这种情况下他又想亲我。
[01:07:10.319] 女：就这个就是你看他他连在我们没有办法他这种关系之前，他他牵我的手，摸我的头，就是这种相对没有那么轻易的触摸，我都会让他觉得让他的良心不安。
[01:07:23.282] 女：我是不是在山莫老师便宜，嗯，你更别说这种就他实际欲望和和他的那个传统的秩序观，那个道德关系的那种冲突了。
[01:07:33.379] 女：嗯，就是然后然后两方都清醒的情况下，他没有办法做这个事情，哪怕我我主动跟他提出来喝药。
[01:07:41.339] 女：好，第二个是。
[01:07:43.399] 女：第二个是嗯第二个是我我我我我我因为某种情绪激荡，无论。
[01:07:50.259] 女：就是这个这个情绪激动怎样，就是他都没关系，反正我情绪激荡了。
[01:07:55.767] 女：嗯，然后我推车上我去喝酒，然后喝醉了，然后他就成了在身边陪着。
[01:08:01.275] 男：我的那个人哦。
[01:08:04.239] 男：哦，然后。
[01:08:06.779] 女：然后然后然后然后陪着我，然后就只能通过这种东西去表达情感。
[01:08:11.864] 女：嗯，然后然后他就再次想起了我的话，就是说我觉得不应该去考虑未来，而是应该考虑当下的感受。
[01:08:19.399] 女：他就拿他就想起了我这样的话，然后他他当时就有那种很模糊的那种那种东西能够纠缠在一起。
[01:08:26.933] 男：的那种意思。
[01:08:27.875] 女：然后这种话非常考虑当下的感受。
[01:08:30.512] 男：我现在想亲他嗯啊。
[01:08:32.799] 女：哦，你要他他他现在又好像就是对了，我们是彼此喜欢的嗯。
[01:08:39.259] 女：然后我我我我想我想陪着他，我想通过这种方式去表达我的情感。
[01:08:46.239] 女：嗯，我的我对他的我对他的欲望，我对他的那个。
[01:08:51.299] 女：我我我对他的那个感觉嗯。
[01:08:55.379] 女：嗯，然后然后然后你。
[01:08:59.719] 女：我想哪哪个是他能够接受的，哪个是。
[01:09:03.879] 女：嗯，哪个是更加就是在在那个传统的那个那个那种恋爱的那种那种感情的叙事里面经常经常有的，那肯定是挺挺对了呀。
[01:09:14.945] 女：然后就然后就加上他他正好是一个就是有点善于用，就是无意识的能够去用用那种用这种东西去掩盖他的那个本能的那种欲望的。
[01:09:27.279] 女：那那那到底。
[01:09:30.839] 女：很明显的怕他这么做了。
[01:09:33.111] 女：他。
[01:09:34.119] 女：他他的那个。
[01:09:39.959] 男：Hello, 你那边网络有点不好。
[01:10:05.819] 男：我把摄像头关我这。
[01:10:08.019] 女：我的耳机没电了。
[01:10:10.004] 男：嗯嗯嗯，行。
[01:10:12.219] 女：对，所以就是就是就是就是他他他他内心就两种声音在打架嗯。
[01:10:18.539] 女：有也有可能也有可能是我我的这种开放，还有我的经历，我我对自己说的那种那种我我对这种这些事情的无所谓，让他看到了能够实现的可能性。
[01:10:30.739] 女：然后然后然后然后因为我的这种开放，他某种程程度上他这个不会在道德上被追究嗯。
[01:10:43.259] 男：Hello, 网络网网络不好。
[01:10:51.619] 女：这你都能看到。
[01:10:59.939] 女：等一下。
[01:11:03.859] 男：你关一下摄像头呢，要不。
[01:11:06.739] 女：不是我，我蓝牙耳机。
[01:11:13.619] 女：我我蓝牙耳机没电，然后我调成扬声器之后，它又继续，他又继续放了。
[01:11:19.159] 男：连上了。
[01:11:20.239] 女：现在呢呃现在ok了。
[01:11:23.319] 男：Hello hello hello. 
[01:11:26.179] 女：就是就是所以所以你能从他的那个。
[01:11:30.839] 女：他他的那个小作文里面看到看。
[01:11:34.899] 女：看看到看到刚刚说的所有东西。
[01:11:38.399] 女：就首先首先在里边他的欲望是占据主要地位的对。
[01:11:43.539] 女：然后然后然后第二个就是。
[01:11:46.379] 女：就是就是他的思考里边有有点受我的影响了。
[01:11:50.699] 女：就是对于所所谓的看重当下，对我的感情，他他进行了一个确认。
[01:11:55.359] 女：然后然后然后最后是是他他对自己的行为进行了一种掩饰。
[01:12:01.128] 男：对。
[01:12:01.559] 女：就就首先首先是他就是他在里面展现出的一个一个一个道德的，可能是无无无法被。
[01:12:09.659] 女：那个那个那个那个什么的姿态，就是他。
[01:12:13.379] 女：呃，他他觉得我这样做是可以的，然后他就做了。
[01:12:17.819] 女：因为他当时会这么对我做，就是他他在道德上说服了自己嗯。
[01:12:24.159] 女：但是但是他他又纠结。
[01:12:27.019] 女：嗯，他他的纠结有没有他他的那个良心纠结有没有足够坚定到能够去让他考虑到我的感受。
[01:12:34.017] 女：所以他在那里就为自己辩解，但是他留了一点，他知道这个是不对的这么一个余地。
[01:12:40.419] 男：嗯。
[01:12:42.539] 女：然后丫头估计他他估计他估计那个精精虫吓脑了之后，他就开始想，我操我我操我我生气，我我被冒犯了，我生气了，他他要为这个事情承担后果了。
[01:12:57.719] 男：对，他是怕这个。
[01:13:00.319] 女：然后他。
[01:13:01.639] 女：他他不就跑来跟我道歉，说真的很对不起猫老师。
[01:13:06.058] 男：对。
[01:13:08.779] 女：但是他他很明显又有一点那种想让自己全身而退，体贴体面的这么一个感觉。
[01:13:16.619] 女：就是他他已经就是在很多方面已经已经给自己设好了一个一个撤退方案。
[01:13:23.359] 女：嗯，就是包括沈梦老师，无论怎么说，怎么怎么，我都会接受的。
[01:13:29.136] 男：对对对。
[01:13:30.979] 女：嗯，还有什么你知道吗？
[01:13:32.614] 女：在他在他说亲我我我没有答应的时候，嗯，然后他中间不是，他中间停了一段时间。
[01:13:38.611] 女：他说如果我们之后真的要分开了，就那段话能不能就互相体面一点？
[01:13:44.079] 女：就在这个时候，他已经在为自己谋谋退路了。
[01:13:47.777] 男：你懂吗？
[01:13:48.393] 男：对。
[01:13:49.579] 女：你是不是没有开，你声音好小啊。
[01:13:52.839] 男：你是不是把你好，你是不是把你声音调小了呀？
[01:13:57.039] 女：我没有，我声音也是最大，然后也开了扬声器了。
[01:14:01.539] 男：我现在声音怎么样？
[01:14:05.479] 男：哎，我现在声音怎么样？
[01:14:07.979] 女：你很小不可能啊。
[01:14:09.849] 男：那快乐腾讯档呢？
[01:14:11.999] 男：嗯。
[01:14:25.679] 女：嗯，哎你你现在网络不好，没有听到的是哪些部分啊？
[01:14:32.199] 男：就是你分析他的心理动机的那部分。
[01:14:35.739] 女：哦，都没听到啊，对。
[01:14:37.489] 男：那段直接卡掉了。
[01:14:39.559] 女：从哪里开始啊？
[01:14:41.159] 男：呃。
[01:14:46.799] 男：呃。
[01:14:48.459] 女：我提我提到了那个呃传统的那一面，然后我们俩都比较清醒的情况，还有那个我我醉了。
[01:14:57.159] 女：然后他他呢会以某种理由去做的那个情况啊。
[01:15:00.564] 男：就是你醉了之后吧。
[01:15:05.139] 女：我醉了之后。
[01:15:07.239] 女：然后他就他就可以陪我对那个那个听了。
[01:15:12.479] 男：那个有吗？
[01:15:13.399] 男：对，这个也有。
[01:15:14.549] 男：从这往后呢？
[01:15:17.919] 女：就是就是就是在这两个相对而言，哪个是他更能够接受的，就是对一个传统的他哎。
[01:15:25.178] 男：对对对。
[01:15:26.179] 女：对啊，然后当然是后者啊，他有一个很很正当的理由，就是首先他是有欲望的对，然后他的欲望和和他的那个传统的价值观产生了一种冲突，但是他又想实现自己的欲望的那干嘛那那怎么办呢？
[01:15:41.940] 女：那肯定是。
[01:15:43.199] 女：那肯定是想要借势。
[01:15:46.159] 女：对呀，然后在在那个价值，在在那个世界里面去用他就是用那种价值观去掩盖掉他真实的欲望。
[01:15:55.959] 男：哎，你先免。
[01:15:57.376] 女：免受他良心上。
[01:15:59.501] 男：的谴责。
[01:16:00.564] 男：对。
[01:16:02.679] 女：然后然后你看像为了去亲去表达自己的感情嗯。
[01:16:09.479] 女：你去去在那种情况下，被一个人脆弱的情况下去表达自己的喜爱。
[01:16:14.761] 女：这种在文艺作品啊，在那种传统的叙事里面都很常见啊。
[01:16:19.261] 女：但是没有这个但是没有足够坚定的勇气去打破那个传统的框架的。
[01:16:26.999] 男：哎，就是。
[01:16:29.259] 男：不是不是。
[01:16:31.219] 男：我想我想一想。
[01:16:36.119] 男：我没有他这个，你说他是个。
[01:16:38.759] 女：很软弱的人。
[01:16:40.099] 男：对。
[01:16:42.719] 女：他他有着欲望，他想要去做，但是他又很软弱，他不敢他不敢去正视自己的这种欲望去。
[01:16:51.519] 女：去去真的为自己负责，他会他甚至考虑到我可以他可以补到那种事情之后。
[01:16:59.079] 男：嗯。
[01:17:01.239] 男：对的对的对的。
[01:17:06.919] 女：然后然后然后然后他的这种良心的不安也促使了他跟我说。
[01:17:12.699] 女：就跟我去做那种承诺，肯定是因为他觉得给我实现做那些承诺，是能够去覆盖掉他他对我的这种愧疚。
[01:17:22.279] 男：哦，对，这个你说的对。
[01:17:27.459] 男：对，这个是对的，就他为啥一直要给你这些东西呢？
[01:17:33.499] 女：如果他给了的话，那我就没有理由去说他做对我做的不好。
[01:17:37.875] 男：我就没有理由去拒绝了。
[01:17:41.779] 女：而且怎么说呢？
[01:17:43.801] 女：嗯。
[01:17:44.639] 女：他就把他就把我的需求变成了他自己想对我做的。
[01:17:50.019] 女：比如说我我我那天晚上收到，前天晚上收到，我真的很想。
[01:17:54.819] 女：就哪怕毕业之后还能跟着老师一起去吃甜点嗯。
[01:17:59.339] 女：我觉得我我真的很希望我们能够一直保持现在的状态嗯。
[01:18:04.079] 女：结果结果在他的这个小作文里面，他说坚定了。
[01:18:07.779] 女：这。
[01:18:08.659] 女：以后你一定要带我吃很多东西的决心。
[01:18:12.066] 女：对。
[01:18:12.719] 女：这看似是在回应我的问题，其实并没有。
[01:18:16.019] 男：对的对的对的。
[01:18:17.679] 女：那他变成了一种。
[01:18:20.879] 女：对他愧疚的某一种一种补偿。
[01:18:23.896] 女：但是这个补偿又被是他主动要带我去做好，去去给我提供一些东西，又又给他去装饰掉了。
[01:18:34.639] 女：哇。
[01:18:39.119] 女：哎，难难怪难怪他抱着我哭的时候说他自己好软弱啊。
[01:18:46.239] 男：哎。
[01:18:51.779] 女：然后然后然后然后你从他他他担心我，然后。
[01:18:56.739] 女：我想让我让我让我自己。
[01:18:59.639] 女：丢掉怎么样？
[01:19:02.679] 女：然后我我喝酒。
[01:19:04.899] 女：然后然后结果他自己跑去喝，喝醉了，这个事情也能看出点端倪。
[01:19:10.679] 男：嗯，他他想。
[01:19:11.845] 女：保护我，然后不想我。
[01:19:14.319] 女：不想让我失控。
[01:19:16.579] 女：结果结果自己好像就失控了。
[01:19:19.172] 男：对，就是他为啥那个时候我也觉得奇怪，为啥你喝他也喝呀？
[01:19:24.699] 女：他不知道我喝了哦哦。
[01:19:27.077] 男：他不让你喝。
[01:19:28.599] 女：他说我喝了。
[01:19:30.399] 女：他应该没有看到我啊，赵一鸣他他跟丢我了，他不知道我离开了广场。
[01:19:35.394] 男：但你没喝，他为啥要喝呀？
[01:19:37.699] 女：对吧？
[01:19:38.299] 女：不是。
[01:19:38.899] 男：根本没道理呀。
[01:19:40.839] 男：对吧对呀。
[01:19:44.299] 男：没道理的事情。
[01:19:46.559] 男：那这个我也觉得不对劲儿，这不对呀。
[01:19:55.619] 女：结果对上来他跟我道歉，说他他自己瞒着我，喝了酒你喝就喝，为什么一定要道歉，瞒着我。
[01:20:03.619] 男：和你有关系吗？
[01:20:05.027] 男：你喝酒和我有关系吗？
[01:20:10.239] 男：对吧？
[01:20:12.359] 男：哎也不知道在搞些什么东西。
[01:20:22.459] 女：嗯。
[01:20:26.039] 女：嗯，他他他上面说了啥？
[01:20:29.219] 女：但到这时候还想着我们下周去看去管公务员的事情。
[01:20:33.387] 男：就是对他怎么说出来这话的，我操你妈。
[01:20:37.419] 男：我告诉他们。
[01:20:39.359] 男：他怎么说出来的？
[01:20:41.479] 女：怎么能够肯定啊？
[01:20:44.479] 男：就是他。
[01:20:47.199] 男：当你不生气了是吧？
[01:20:57.419] 女：就是当你会消气啊，对啊。
[01:20:59.483] 男：就当你会消气啊，他就是这种态度嘛。
[01:21:05.819] 女：他跟我说原谅我，说我不愿意。
[01:21:09.059] 女：我说我不愿意听，但他是说等你原谅我之后。
[01:21:12.799] 女：我当时就有点生气了，我说，妈的。
[01:21:16.019] 女：现在跟我去原谅。
[01:21:17.919] 女：但这个我其实想等我原想想我原谅他，然后请他。
[01:21:23.139] 男：搞什么东西。
[01:21:26.679] 女：就是这个他一直一点都没有意识到自己的问题。
[01:21:30.369] 男：对呀。
[01:21:33.999] 女：但他只要在我这边获得一个道德上的豁免。
[01:21:39.099] 男：对。
[01:21:41.719] 女：红码不就这个样子吗？
[01:21:43.399] 女：对。
[01:21:43.585] 男：就他的一套行为行为逻辑很熟悉。
[01:21:48.639] 女：就是就是他表现出雷锋知道错的样子，然后然后然后他他的痛苦其实并不是因为他真的明白，而是因为。
[01:21:57.859] 女：不是因为我我我生气了。
[01:22:00.995] 女：嗯。
[01:22:01.308] 男：对，就因为你生气了，他不一定会嗯。
[01:22:07.379] 女：然后然后他想要安抚的。
[01:22:10.419] 女：平静我的情绪。
[01:22:11.865] 男：那唯一的目的就是让你不生气。
[01:22:15.899] 女：对，然后就让我原谅他。
[01:22:17.894] 女：对。
[01:22:18.115] 男：原谅他就可以干他想干的事情了。
[01:22:23.719] 女：那就是五岁的了。
[01:22:25.559] 男：嗯。
[01:22:27.599] 女：安全。
[01:22:29.239] 女：我操。
[01:22:29.807] 男：妈妈一直执着于执着于获得你的原谅。
[01:22:36.939] 女：反思你妈了个逼，他要是真反思了，就不会在这么短的时间内高强度的给我爆雷。
[01:22:46.079] 男：这个东西。
[01:22:51.819] 女：说啥，我还在那个。
[01:22:53.779] 女：他还在那跟我说，因为因为我受到的教育，让我不知道，可以提前问我这个跟他的。
[01:22:59.779] 女：这个这个跟他的。
[01:23:01.979] 女：是矛盾的。
[01:23:02.809] 女：他能够他想为自己辩解，我可以理解嗯，但是他真的不知道能可以提前问吗？
[01:23:09.243] 男：并不和你的教育没关系。
[01:23:13.319] 女：他他做事情他考虑事情那么周到，他怎么可能考虑不到这个这个点对呀。
[01:23:19.341] 女：但是他甚至会在会在会在哎他自己想牵我手之后，然后还在那儿顾及他他就是偷偷问我就是我做这个事情会让你很难受。
[01:23:30.239] 女：还有什么？
[01:23:33.839] 女：就是嗯还有什么来着？
[01:23:38.419] 女：就是就是他以前他以前做事情能够感感觉到他他是能够去顾虑到这些。
[01:23:44.899] 男：东西的对呀。
[01:23:47.959] 女：而且而且哪怕你真的因为交易，你不知道。
[01:23:51.477] 男：可以提前说嗯。
[01:23:52.859] 女：难道难道这个就是你马上回应我对你的这个职责的一个理由了吗？
[01:23:58.004] 女：你难道不知道说对不起，我会注意的，而不是在自我辩解。
[01:24:02.231] 男：对啊。
[01:24:02.859] 女：也就是说他也就是说他他其实很清楚自己错在哪。
[01:24:07.419] 男：嗯，是的是的。
[01:24:09.719] 女：清楚越是清楚自己错在哪儿的人，他他反而会在他反而会越猛会越猛烈。
[01:24:16.302] 男：的去回击狡辩。
[01:24:21.499] 男：对吧？
[01:24:22.339] 男：对的对的。
[01:24:25.079] 女：因为因为因为他知道自己错了，但是他不想去面对这个东西。
[01:24:29.195] 女：对的，他就是。
[01:24:30.539] 女：这个就是这个团队指出来，被人看穿了是最刺痛的。
[01:24:34.699] 男：对。
[01:24:36.199] 女：就是这个东西偏偏是他想藏的。
[01:24:39.303] 男：对的对的。
[01:24:43.299] 女：什么叫不知道怎么面对我？
[01:24:45.513] 女：如果如果说不能结婚。
[01:24:47.324] 男：他到底有啥不能面对你的？
[01:24:49.679] 女：我说什么时候变成了一个只能够为他结婚所用的一个小玩偶了呀？
[01:24:55.588] 男：嗯我觉得这个他到底有啥他不能面对你的呀。
[01:25:02.239] 女：嗯，玩偶之家没看到。
[01:25:05.139] 男：哎，我知道你们不是才上过课吗？
[01:25:08.299] 女：他没看吧。
[01:25:10.299] 女：我我跟他我跟他看的那部电影是白看了。
[01:25:13.879] 女：果然是男的吧。
[01:25:15.939] 女：哎，那个你知道非常定律局里面那个那个那个强奸，你知道他讲了什么吗？
[01:25:21.656] 男：我不知道。
[01:25:23.979] 女：对，它是那个初步举证的续作对初步举证，它是一个作为作为女法官和强奸受害者的一个故事嘛嗯嗯。
[01:25:32.959] 女：然后然后飞行进内局也基本上延续了这个结构。
[01:25:36.574] 女：嗯，只是他也变成了被强奸受害者，他是这个结构的加固者。
[01:25:40.912] 女：就是这个人同时是大法官，他也是在里面的母亲，嗯，然后同时作为妻子，嗯，那这三者存在，然后然后然后然后就讨论了父亲的缺失，就是他爸是如何去影响他儿子的。
[01:25:53.023] 女：然后还有就是他儿他儿子是个强奸犯，然后然后他作为法官这样审到了他儿子的事情，然后他花了很就是就是这个这个这个这个这个剧的篇幅，已经基本上不再案件审判了就是。
[01:26:06.539] 女：但他更偏重于那个，就是他作为一个母亲和妻子，她她。
[01:26:11.079] 女：就是他他是怎么样去。
[01:26:14.019] 女：平衡他的工作生活，然后还有就是他他对他儿子投入的感情。
[01:26:18.654] 女：嗯，然后然后当当当他这种感情遇到了他儿子真的成为强奸犯的时候，他他是怎么处理自己的情绪的？
[01:26:26.443] 女：大概是这样子，如果这个这个儿子是如果成为强奸犯的。
[01:26:30.708] 男：就挺有趣的。
[01:26:31.635] 男：嗯。
[01:26:31.821] 女：这就是他儿子，他从小就给儿子去灌输很多。
[01:26:35.799] 女：就是去脚踏一些先锋的那种心里面。
[01:26:39.759] 男：嗯。
[01:26:41.339] 女：就是从小开始，比如说让就是他他他以他有一次以为他他他他儿子那个Harry贝尔莫business了，然后他就很担心。
[01:26:50.487] 女：然后就会教他大声的去如何去大声的访问陌生人啊，包括他听听到他那个全员知识，就是关于那个色情网站嘛嗯。
[01:27:00.459] 女：那怎么样去看待自己的身体变化，还有你不要把那个point里面的东西当真之类的。
[01:27:06.546] 女：嗯嗯，然后啊包括后面很多东西都是他出现，然后去去帮助他。
[01:27:11.539] 女：然后然后后面是他儿子18岁要去参加派对。
[01:27:15.839] 女：嗯，然后然后在派对里面他和他和一个叫艾米的女生上床了。
[01:27:21.991] 女：结果那个那个amy他在在在那之后去发发私信去骂他，然后然后在在他他的社交范围内去去发他的那种黑黑那种黑料吧。
[01:27:34.296] 女：嗯然后接下来报。
[01:27:36.199] 女：然后他妈妈最开始是护着他的。
[01:27:38.619] 女：护着，然后后面会感觉不对。
[01:27:41.559] 女：然后他也不知道应该怎么去面对这些东西。
[01:27:44.829] 女：然后我觉得作为那个就是作为强奸案本身那个那个那个有一个很值得审审视的点。
[01:27:51.188] 女：他甚至和我现在的招形成了某种呼应吧。
[01:27:54.276] 女：嗯就是那个你是谁？
[01:27:55.730] 女：艾米是Harry从青梅竹马就是发小的好朋友。
[01:27:59.039] 男：嗯。
[01:28:00.499] 女：然后。
[01:28:01.959] 女：呃。
[01:28:03.399] 女：然后然后然后然后然后然后他们知道派对上，他们都知道那个派对。
[01:28:09.333] 女：昨天下午那个夏威夷嘛会有很多那个年轻人会去开，他嗯感觉就懂晚晚间的哄他，然后他们就会喝酒，嗯，然后就那个份子蛋呢就是就是就是大大家会起哄，你们俩喝了那就上床吧。
[01:28:25.016] 男：我靠，嗯大嗯大概是。
[01:28:26.712] 女：大就你们就上，你们就上，你们就上。
[01:28:29.679] 女：嗯，然后然后。
[01:28:31.619] 女：艾米就是hey亲嘴了，这个事情他们应该是彼此知情的嗯。
[01:28:36.639] 女：他们应该也是就是互相有某种好感的吧。
[01:28:40.799] 男：嗯嗯。
[01:28:41.371] 女：然后然后然后据然后据Harry最早的描述的话就是。
[01:28:47.419] 女：但是他醉了，我也醉了。
[01:28:49.251] 女：嗯，然后然后然后然后那个法官妈妈教过他说你们就是你，你要是和女孩子发生性行为，你知道什么是最重要的吗？
[01:28:58.822] 女：就是我这样做可不可以？
[01:29:01.359] 女：就是if if this is ok什么鬼的，然后Harry他去问了amy这样O不ok然后他说amy已经说过ok了。
[01:29:12.079] 女：哦，但但是他还是被AB指控为是强奸犯嗯嗯。
[01:29:18.019] 女：然后就是当时两个人都喝的蛮醉的，大概是这样子，然后后面然后然后然后他他就花了。
[01:29:26.159] 女：就是。
[01:29:27.459] 女：就是就是在在这在这个不在这这部戏里面，你能感觉到的不是强奸犯有多可恶，嗯，而是而是他那个他儿子的那种无助，那种那种失措痛苦。
[01:29:40.309] 女：嗯，就是。
[01:29:40.986] 男：他不知道。
[01:29:41.888] 女：他很害怕自己要面临的损失，他觉得自己是并没有做错嗯。
[01:29:47.459] 女：他做的挺对的，嗯，然后然后就就是这样子，然后后来后来他跟他妈说。
[01:29:54.539] 女：他他跟他妈妈就私下去坦白。
[01:29:57.979] 女：其实当时那个艾米。
[01:30:01.939] 女：就是amy已经是已经睡着了。
[01:30:04.645] 女：嗯，然后然后然后然后他以为。
[01:30:08.059] 女：嗯。
[01:30:10.079] 女：就是觉得这样子做，他不知道其实是ok的。
[01:30:14.339] 女：嗯，然后没想到1米中间醒了，他就跟他妈妈坦白了这个事情。
[01:30:19.479] 男：嗯。
[01:30:22.319] 女：哦，在在那在那前面那个那个那个主角他他发现了儿子的。
[01:30:27.959] 女：哎，那个电脑里面有很多。
[01:30:30.659] 女：Telegram群聊。
[01:30:33.859] 男：嗯。
[01:30:35.339] 女：就是拍女性特写部位的，嗯，然后然后那个记录全是黄黑。
[01:30:42.179] 男：嗯。
[01:30:43.379] 女：然后他儿子会在那个群聊里面去评论那个被偷拍的女孩的身体部位。
[01:30:48.997] 女：什么说。
[01:30:49.999] 女：I wonder that. 
[01:30:51.699] 男：嗯。
[01:30:55.579] 女：然后。
[01:30:56.819] 女：这这挺有意思的吧。
[01:30:58.714] 女：嗯，你能看到。
[01:31:00.499] 女：那个那个那个男孩是不刚满十八。
[01:31:04.359] 女：然后他他他接受过那种就是他妈妈的教育，他知道怎么怎么做是应该的。
[01:31:12.107] 女：嗯，但是呃他。
[01:31:14.539] 女：就是就是他一方面确实征得了好像好像征得了女孩的同意，但是另一方面他又顺势的去去做了那些事情，然后他的良心让又让他非常不安，就是在他被报警之后。
[01:31:27.719] 女：他他他就特别特别恐惧，然后怎么样都没没办法睡着，然后他不知道自己是。
[01:31:35.139] 女：到底做错哪儿了，他其实他心里门清呢。
[01:31:38.428] 男：他对他门儿清，他知道。
[01:31:41.839] 男：他可知道了。
[01:31:43.719] 女：对，就抱着那这样的侥幸心理，但是他又为自己辩解了。
[01:31:55.879] 男：哎。
[01:32:04.919] 女：然后然后他拍拍出来的感觉上是让我有有点同情这个男生。
[01:32:09.759] 女：就好像他确实。
[01:32:12.119] 女：没有真的接触过，就是。
[01:32:15.359] 女：他接受了教育，但是那个东西没有能够让他真的去那个。
[01:32:21.299] 男：啊，抱抱抱抱里的呢。
[01:32:27.859] 男：抱抱。
[01:32:29.139] 女：有点有点像吧。
[01:32:41.199] 男：怎么说呢？
[01:32:43.499] 女：你你你要是要是我跟段老师说。
[01:32:47.519] 女：你你你做的事情和他们没有任何区别，就是你也是那个在性生活的人，你猜他会被崩溃。
[01:32:56.779] 男：他应该会吧。
[01:33:00.259] 男：我觉得应该会。
[01:33:05.639] 女：然后然后然后这两天我在想嗯。
[01:33:09.099] 女：那他对于那些人那么深恶痛绝。
[01:33:12.959] 女：然后然后如果如果如果他发现自己其实在某些时候，在某些时刻其实跟他们没有区别，他肯定会想不懂。
[01:33:22.399] 女：如果他想不懂的话，他有可能就会开始为为自己辩解。
[01:33:26.776] 女：如果他为自己辩解的话，也就说明他他在。
[01:33:30.919] 女：他也在为前面他所碰触过的那些人辩解。
[01:33:35.599] 女：然后他有可能会为了保护自己而去而去相信这个理念。
[01:33:43.159] 女：那么他这样一来，他也会成为这个系统的加固者。
[01:33:48.819] 女：然后然后他估计就能够理解火船能够理解琼马了。
[01:33:52.939] 男：哎。
[01:33:56.399] 女：然后然后然后我想到这个可能性，我就感觉挺悲哀的。
[01:34:01.459] 男：是呀。
[01:34:04.299] 女：那你说我怎么跟他说呢？
[01:34:06.979] 男：怎么跟他说？
[01:34:09.739] 女：这傻子。
[01:34:11.179] 女：这傻逼在我说我如果说是某些话，我们的关系就毁掉了，我们也最后一年都不能相处了，他也不信了。
[01:34:18.362] 女：那那你说我能承受的。
[01:34:25.019] 女：我说你相信我行不行？
[01:34:26.723] 女：当然你也相信我好不好？
[01:34:28.616] 女：他们跟合川一个鸟儿一样。
[01:34:33.679] 男：哎。
[01:34:42.379] 男：嗯。
[01:34:44.699] 女：我我不敢说我不想跟他断绝关系，我还需要他的帮助。
[01:34:48.602] 女：我觉得就是这个让我觉得很赤裸的一点。
[01:34:53.099] 女：就他明他明明是需要他明明是需要为为自己的这个行为付出。
[01:34:59.059] 女：付出代价的。
[01:35:00.779] 女：对，但是我又因为我自己是弱势者，就是。
[01:35:04.739] 女：Ok他的跟他的关系而言，在社会上是属于一个弱势者，嗯，一个相对失能的人我我需要他的帮助。
[01:35:14.539] 女：但我感觉如果如果我找回他说说说说需要他的帮助，有点不低声下气。
[01:35:20.959] 女：有有点像在乞求他，让这个事情我觉得特别特别迟疑，因为因为这个人。
[01:35:28.959] 女：但他并没有为自己的行为付出任何的后果，哪怕是所谓道德，也没有在在对他的精神和身体上实行任何伤害。
[01:35:37.945] 女：哪怕我说出狠话了，他觉得很受伤，那也是他应得的呀。
[01:35:42.479] 女：对呀，哪怕我说你哪怕我说你去死吧。
[01:35:46.399] 女：也是因为他做了一些原则性错误的问题。
[01:35:49.783] 女：在审对在线。
[01:35:51.679] 男：是这样的呀。
[01:35:56.999] 女：然后然后然后真正承担了后果的其实是其实是在关系中的另一方。
[01:36:03.233] 男：对的。
[01:36:06.299] 女：然后然后然后他然后然后他他肯定也能像和他那样。
[01:36:10.799] 女：呃。
[01:36:12.159] 女：你就是去过对的对的日子。
[01:36:15.679] 女：在星期三我估计都忙着做明天的PPT呢。
[01:36:19.106] 男：宝宝宝宝位置呢。
[01:36:24.319] 女：对对对对，他们来说，后果的可可承担性是很大的。
[01:36:29.319] 男：嗯。
[01:36:33.959] 男：抱抱的。
[01:36:42.059] 女：你跟他说那么多，就自我婆婆的话，就是没什么用。
[01:36:46.299] 男：嗯。
[01:36:49.239] 男：哎。
[01:36:53.139] 女：然后呢。
[01:36:54.459] 女：这圈子会被他用来去衡量。
[01:36:58.179] 女：价值的天平，我我他妈好悲哀呀。
[01:37:09.839] 女：那他怎么能敢在我知道了我的事情之后，跟我谈未来打算呢？
[01:37:15.528] 男：对呀，这就。
[01:37:19.619] 女：那大家听了这么多事情之后，他考虑的居然是。
[01:37:23.199] 女：那这样的话，我还有可能跟他走到未来吗？
[01:37:28.699] 男：他是怎么想到这个东西的？
[01:37:33.019] 女：然后只要就靠一个醉酒之后在那亲他，就说我愿意陪他到当下给亲爽了。
[01:37:41.679] 女：就在当下，他清爽了，他觉得满足这个东西就够了。
[01:37:45.751] 女：我操。
[01:37:51.939] 男：哎，这什么东西呀？
