[00:00:00.000] 女：你需要我往他那边靠吗？
[00:29:48.400] 男：得出事儿，这真的。
[00:29:51.300] 男：他这个德性，我我不指望他能管得住他他自己。
[00:29:55.820] 女：嗯。
[00:29:56.740] 男：管不住一点儿。
[00:29:58.580] 女：然后就就当朋友。
[00:30:00.545] 男：就好了啊。
[00:30:01.668] 男：对嗯，他要不然后嗯要要。
[00:30:04.476] 女：别的事情啊。
[00:30:07.040] 女：嗯，别的事情的话。
[00:30:11.080] 女：就这个这个这个其实也。
[00:30:15.060] 女：就是也也那个啥，就是社这边怎么办呢？
[00:30:19.900] 女：对，我我我本来就想，如果我们俩真的就就是没有确定关系，但是进行一些心理接触啥的，或者说确定关系了嗯，怎么怎么或者说我们只在校内，就我本来还在我本来在担心的事情，还还是只有说他考虑未来，但我不考虑未来，我我觉得最多的就是在校内玩一下。
[00:30:40.500] 女：嗯，那但这个怎么办？
[00:30:42.055] 女：先不用了，说对呀，想都别想了，直接当成朋友算了，当朋友反而给我对，反反而给我一个心中了。
[00:30:50.140] 男：嗯，也轻松了。
[00:30:52.880] 女：对我信奉吧。
[00:30:53.960] 男：就是反正他又不和你处，就嗯就就是他人人人人人人有问题和你处，你就这样处着呗。
[00:31:02.420] 女：对他要是因为这个事情再再纠缠，我说我就。
[00:31:07.240] 女：对我已经做好了，你就是拉黑他的准备。
[00:31:10.291] 女：对呀，然后让他自己要让他自己离开试试。
[00:31:13.533] 男：对，就本来就是你有问题。
[00:31:16.160] 男：你他妈的那那个那个那个环境之下，你是怎么能写？
[00:31:20.940] 男：哎呦，我的个天哎，你都不记得说。
[00:31:26.780] 男：怎么做出来的？
[00:31:29.380] 男：那有的时候我能理解他有这种想法，我也能理解你，你他妈你你你就是想亲你亲一下ok了。
[00:31:37.240] 男：你别你还亲上瘾了。
[00:31:40.280] 女：那昨天昨天晚我觉得最主要的我就很好笑，就是昨天晚上我主动的去跟他说，我想亲你。
[00:31:48.840] 女：然后你要问你要你要告知他，你想亲我也是可以的。
[00:31:53.415] 女：嗯。
[00:31:53.633] 男：然后他自己。
[00:31:54.723] 女：没有答应。
[00:31:55.594] 女：嗯，然后然后后然后后面我们就他他喝醉了，不是三步醒酒嘛嗯。
[00:32:02.180] 女：然后。
[00:32:05.280] 女：嗯。
[00:32:07.340] 女：然后他就说其实就就有的时候真的很想亲我，但是他害怕做了这个事情之后，就我们的关系就没有办法定性了。
[00:32:15.926] 女：他他希望考虑清楚之后再。
[00:32:18.220] 女：就是就是在做咋的。
[00:32:19.919] 男：你考虑一下。
[00:32:20.981] 女：就后面嗯等一下你跟我。
[00:32:23.105] 男：跟我说完，你说你说。
[00:32:24.804] 女：然后呢就坐坐车回学校嘛，嗯然后他就说就是。
[00:32:29.460] 女：不行，我说可是我也想亲你啊，刚才笑了一下，说社会的那种约束啊什么的，然后我们就回去了。
[00:32:38.860] 女：你说哪怕在那种情况下，我们亲一下，我觉得都很ok。
[00:32:42.505] 女：因为至少。
[00:32:43.460] 女：我真的很清醒啊。
[00:32:45.248] 男：我也想做对啊，你们两个都是清楚的。
[00:32:50.240] 男：对，那那你今天晚上你那你你昨天昨天你那么想去，你不，你今天晚上你为啥你你又听了呢？
[00:32:59.360] 女：对，他说，昨天晚上我告诉他，给他给他机会了，他不行，今天晚上我醉死状态。
[00:33:05.600] 男：我就想问曰，约束住你的，这是你的道德吗？
[00:33:11.280] 男：啊。
[00:33:13.380] 女：那刚才。
[00:33:15.560] 男：那真是因为你担心社会评价这些东西你才不做的吗？
[00:33:20.638] 男：你担心的是啥？
[00:33:22.024] 女：公园的小路边哦。
[00:33:25.260] 男：我跟你说，你你你你担心的是一个清醒的对象，你担心的是这个。
[00:33:33.720] 男：他担心的是一个清醒的你。
[00:33:36.420] 男：他不敢去庆幸的你。
[00:33:39.180] 男：但但他感情喝醉了你。
[00:33:41.920] 男：这是什么话？
[00:33:43.067] 男：这是什么逻辑？
[00:33:44.443] 男：这是什么想法？
[00:33:46.940] 女：而且我喝的比之前比比上次那个那个那个度数更高的，我都最好多。
[00:33:53.510] 女：不知道为什么。
[00:33:54.917] 男：我以为没有问题的这本来你本来你也不怎么能喝酒。
[00:34:01.320] 女：对呀。
[00:34:01.837] 男：听不到你，你稍微喝两瓶你就有点虚。
[00:34:07.000] 女：嗯。
[00:34:08.500] 男：哎，那看你需要赶紧送过去得了。
[00:34:11.111] 男：他之前也是这么做的。
[00:34:12.919] 女：你天天晚上你。
[00:34:14.125] 男：犯什么病啊？
[00:34:15.129] 男：那犯什么天天晚上我真的不知道。
[00:34:17.942] 女：他以前真的不是这。
[00:34:19.549] 男：样子的啊。
[00:34:20.352] 男：好，我觉得他应该哎。
[00:34:23.580] 女：他之前应该都克制住了吧，然后也没有看我估计就看我真的就就太厉害了。
[00:34:31.380] 男：一个一个是一个是你他妈，你真的有点不省人事。
[00:34:37.360] 男：你一个是他那边，他他他可能也着急。
[00:34:41.960] 男：他想他想赶紧赶紧赶紧拿下。
[00:34:47.340] 女：嗯嗯。
[00:34:49.900] 男：去你妈了逼。
[00:34:52.340] 女：你爱拿拿吧，反正我我这边把我的东西都交代清楚了，然后以后发生什么事情，我我也能有一个比较。
[00:35:01.752] 男：好的说法。
[00:35:02.670] 男：对。
[00:35:03.520] 男：对吧？
[00:35:04.013] 男：对，反正所以所以所以。
[00:35:06.233] 女：对这个事情本质上本身我是不介意的。
[00:35:10.780] 女：嗯，不过他有可能会让我就是对里面一些东西。
[00:35:15.480] 女：很困扰吧，怀疑了。
[00:35:19.040] 男：这个这个人这个人本性暴露的太快了。
[00:35:23.080] 男：对吧嗯，暴露的太快了，他前几天。
[00:35:25.920] 女：前几天也不能说是伪装吧，但是。
[00:35:28.900] 女：但是你也从能从他所给我展现的这种真实之中，我察觉到一点端倪。
[00:35:34.422] 男：有。
[00:35:35.980] 男：沉不住气。
[00:35:40.160] 女：嗯，前面还跟我说什么？
[00:35:42.580] 女：什么计划啥的。
[00:35:45.060] 女：你知道他他问我，你未来计划是啥？
[00:35:47.841] 女：他就跟我说，我说问这么高深的问题呀。
[00:35:51.180] 女：然后他就说听听他的，他就说。
[00:35:55.040] 女：但是的话现在考考工，然后以后有一个稳定的工作，能稍微攒。
[00:35:59.290] 男：一下钱就够了。
[00:36:00.310] 女：你你那算了。
[00:36:01.160] 男：重事情问我干嘛？
[00:36:02.350] 男：对呀，你和我有关系吗？
[00:36:05.120] 男：不是你未来走走长的路，你和我有关系吗？
[00:36:09.740] 男：你考公，你考锤子工。
[00:36:19.980] 男：他为啥要问你们一句话呀？
[00:36:22.101] 男：那他妈那他妈的哎，你想活出怎样的人生？
[00:36:26.480] 女：嗯，嗯嗯嗯嗯嗯。
[00:36:29.600] 女：他这样来说，你你下周我们去公园玩的时候，你就告诉我，我直接都不想去那个公园了。
[00:36:37.550] 男：你懂吗？
[00:36:38.231] 男：不是住差。
[00:36:42.000] 男：你你我凭啥要告诉你？
[00:36:47.220] 男：你是我爹啊。
[00:36:49.840] 女：然后然后要去的那个地方是樱花园。
[00:36:54.280] 女：我我知我想知道的换地方了，或者我们就不去了嗯。
[00:36:59.840] 男：不去了。
[00:37:02.040] 男：你和他。
[00:37:05.580] 男：在避免这种接触吧。
[00:37:08.340] 女：嗯嗯。
[00:37:08.764] 男：或者说你和他出去玩，然后尽量带个人一块儿。
[00:37:16.380] 女：嗯。
[00:37:22.360] 男：赚一个人没有。
[00:37:23.699] 女：主要是现在的问题是嗯我觉得那些都是ok的。
[00:37:28.700] 女：嗯，但是如果我强硬拒绝的话，然后我自己不去喝酒干嘛的，去影响我的意识，我觉得应该还是没问题的。
[00:37:37.076] 女：什么意思？
[00:37:37.874] 女：你要说论搭子的话，它确实是一个。
[00:37:40.667] 男：很好的搭子。
[00:37:41.664] 男：对，不能再往下走了。
[00:37:43.560] 女：对，就是就是就是就是我不能在那个模糊的边界进行模糊了。
[00:37:48.983] 男：对。
[00:37:49.560] 男：嗯，不能再往下走。
[00:37:52.580] 女：嗯，就是就是平时让他帮我拎拎包什么的就够了。
[00:37:56.532] 男：对，就是你有啥忙他帮帮你。
[00:37:58.705] 男：然后完了别的别的他要是不帮，那他就不帮了。
[00:38:03.100] 男：对吧？
[00:38:03.493] 男：嗯，那不帮不帮不帮那那更能说明他本来就是那啥子。
[00:38:08.500] 男：对呀，本来他说的那。
[00:38:09.914] 女：不是因为那个都是骗人的吧。
[00:38:12.035] 男：对他要是不帮，本来就是你你你这个你本来就是图谋不轨，你本来就是想占我便宜，你不帮你要是帮就那你就帮着呗，你在那说啥呢？
[00:38:22.840] 女：说什么不知道怎么面对我的，到底是为啥。
[00:38:26.628] 男：他不知道。
[00:38:27.520] 男：哎，他为啥不是你你你你有啥事让他不能面对的呀。
[00:38:32.700] 女：我不知道啊就可能，我。
[00:38:35.560] 女：可能就是因为有你吧。
[00:38:37.500] 男：我觉得就是这个问题啊。
[00:38:39.800] 女：关键是最主要的问题是这个误误会我，我影响了他心中的某种纯洁的形象。
[00:38:46.131] 男：关关键是我我你妈我就是个背景板呀。
[00:38:49.700] 女：嗯，对啊，你就是个背景板啊，我甚至没有提到你的任何细节。
[00:38:53.766] 男：对我自始至终我有任何一个形象吗？
[00:38:56.307] 男：我啥都没有。
[00:38:57.154] 女：他连我你你有问题帮助了我，你刚刚好。
[00:38:59.865] 男：他连我多大我都不知道。
[00:39:02.820] 男：对对吧他能有多大？
[00:39:04.368] 女：你的实习我甚至连你的实习这个没空管我，我俩这个事情他都不知道。
[00:39:09.980] 男：对呀，这你我连这个。
[00:39:11.528] 女：的我连这个说法我都准备好了。
[00:39:14.044] 男：你要不说我一点不知道。
[00:39:17.660] 男：这是真的是这样的那我就是说。
[00:39:20.499] 女：什么你。
[00:39:21.154] 男：要不说啊，我说我实习。
[00:39:23.540] 男：啊，其实应该这样说，就算你说了，我也没空去细讲。
[00:39:28.320] 男：这样的。
[00:39:29.900] 女：什么意思？
[00:39:31.620] 男：我在开玩笑。
[00:39:33.400] 男：就是就是接着那个接着接着你说我在实习没空去管这些事情，接着这后面的。
[00:39:41.980] 女：嗯，好，懂了，对吧？
[00:39:43.289] 男：那那那要是你不说的话，我更不知道了。
[00:39:47.540] 女：就是不知道我跟他吗？
[00:39:49.536] 女：对呀。
[00:39:50.540] 男：嗯，那这样的话，我的存在与否有什么必要呢？
[00:39:54.340] 男：对呀，那触动了他内心的某种。
[00:40:00.320] 女：没招，谁叫我是一个觉醒的女性。
[00:40:03.680] 男：没招啊，不是，那哎就是尽力。
[00:40:06.925] 女：我是一个觉醒的女性。
[00:40:13.020] 女：哎，你知道最幽默的是什么吗？
[00:40:15.272] 女：嗯。
[00:40:16.280] 女：但他今天早上真的也很担心，但后来跟我说说送我到考场之后很担心，说感觉更像抽离了一样。
[00:40:24.223] 女：很很怕昨天说的那些事情影响到我考试，嗯，还有很对不起什么的。
[00:40:29.723] 女：结果今天晚上的这一出。
[00:40:32.820] 男：我都忘记是怎么想的，你知道这些话真是你想想的吗？
[00:40:38.000] 男：我好像不止一次说过这话。
[00:40:41.620] 女：我真的觉得他考虑问题的角度很很奇怪。
[00:40:46.460] 女：你这个他甚至没有他甚至没有问过我一点，你还会过得开心吗？
[00:40:51.816] 男：对他考虑还是以他们为的，以他自己为为为主角去考虑的。
[00:40:57.660] 男：对，就是他觉得你可能会怎么。
[00:41:00.726] 女：但是有个问题就是很奇怪，嗯，就是他在实际相处中真的很很照顾我。
[00:41:08.560] 男：对呀。
[00:41:10.240] 女：对，甚至甚至能够考虑到特别特别多我自己都没有想到的东西。
[00:41:16.456] 男：嗯。
[00:41:16.695] 女：会会去会去注意到很多很多我自己都不在乎。
[00:41:21.238] 男：的一些细节。
[00:41:22.433] 男：你知道那个心系和他这种思维模式。
[00:41:26.260] 男：嗯嗯，不构成因果关系。
[00:41:30.340] 女：哎呀，但但是就是会隔离很矛盾啊，我反正我特别喜欢跟他的这种相处吧，因为人肯定也想被照顾嘛，对呀。
[00:41:39.880] 女：嗯，被逮捕吗？
[00:41:41.168] 男：没招嘛，不能不能往深了去抬。
[00:41:45.880] 男：往上一弹完了之后，你要是再再接着往下杵的话。
[00:41:51.600] 男：哎，还得出事儿。
[00:41:54.360] 女：我跟他说，我想跟你一直当好朋友，他他不鸟我，哼。
[00:41:58.480] 男：好像他他说没。
[00:42:00.580] 男：嗯，你说他他他这样。
[00:42:01.927] 女：想到这一天，痛苦的这一天，就为了我今天晚上那两个傻。
[00:42:07.520] 女：所以所以所以我就生气，我生气就剩下这，他就是不知道我生气的问题在哪。
[00:42:14.360] 男：哎。
[00:42:16.180] 女：他他怎么在那喝酒？
[00:42:18.860] 女：他要问你你你你我可以知道你生气的地方在哪吗？
[00:42:22.869] 女：哼。
[00:42:25.920] 女：一直不让我抽烟是咋地？
[00:42:30.440] 女：没有理由，居然是他觉得这个会直接伤害到我的身体，我怕你对我管管太多了吧哎。
[00:42:38.580] 男：奋力发肤，受之父母。
[00:42:42.320] 女：我说。
[00:42:42.763] 女：我说我受着他就不吱声了。
[00:42:49.880] 男：你这。
[00:42:50.980] 男：管你干啥？
[00:42:56.640] 女：我好想当渣女怎么办？
[00:42:58.783] 女：再文。
[00:42:59.700] 男：那两个怎么扎法呢？
[00:43:02.260] 女：我我想着利用他的感情。
[00:43:04.228] 男：让他帮我做事情，我觉得未尝不可呀。
[00:43:07.400] 女：但是我我我我做不到。
[00:43:09.657] 男：但但是得考虑到他他哪天他到你摇。
[00:43:15.760] 男：对吧？
[00:43:17.280] 男：得考虑到这个东西。
[00:43:18.672] 男：对呀，其他的话就没啥问题了。
[00:43:25.020] 男：那那个之前我。
[00:43:28.640] 男：之前我和你说。
[00:43:31.240] 男：嗯，你最好不要在过夜的时候和他说。
[00:43:35.380] 男：呃。
[00:43:37.100] 男：嗯，关于你的，关于我的事情，我也是担心这个。
[00:43:41.520] 女：我是担心他办完硬上弓是吧？
[00:43:43.802] 男：不是哦，对我担心一个你说完之后，他可能怎么怎么样。
[00:43:47.986] 男：第二个，万11000没弄成，他出来之后他找你要。
[00:43:53.640] 男：所以我说绝对不能过夜。
[00:43:56.260] 女：之前我是怎么想的？
[00:43:57.786] 女：我喝醉的时候跟我过夜的呀。
[00:44:00.075] 男：对呀，你说他他这个东西也是特别傻，特别不是傻逼了，特别特别就是耍流氓了。
[00:44:06.380] 女：他问了我三遍，嗯。
[00:44:08.200] 男：这就是这就是意图很明显的。
[00:44:11.920] 男：嗯，那那那那你你喝醉了，我我第一反应就是应该把你送回去，我送到宿舍楼底下。
[00:44:19.880] 男：你说但凡我们。
[00:44:21.093] 女：我们俩之间有过，你喝醉可以吵我这个这个之前和这个讨论都都没关系，但问题是我们现在。
[00:44:29.080] 女：彼彼此之间这么暧昧不明，就是因为这个暧昧。
[00:44:33.020] 女：不能再再再纠结的痛苦，然后你来了这么一出一出，对呀。
[00:44:38.034] 男：你到底是啥意思？
[00:44:39.560] 男：对吧？
[00:44:39.996] 男：他我我目的我跟你。
[00:44:41.740] 女：之间是无所谓啊。
[00:44:43.266] 男：对吧？
[00:44:43.702] 男：对，咱俩唉咱俩啥话不能说。
[00:44:47.760] 男：嗯嗯。
[00:44:49.540] 男：咱咱俩咱俩主要就是你说了，我也不。
[00:44:53.340] 男：我也不答应。
[00:44:55.440] 女：你妈了个逼，操你妈这。
[00:45:00.500] 男：我答应我就不是我了。
[00:45:03.060] 男：没到时候呢嗯。
[00:45:06.040] 男：讨厌你像那个。
[00:45:09.460] 男：说到哪了，他我觉得他就是觉得你你你你十分不清醒了。
[00:45:16.360] 男：哎，他就想趁你这个不清醒，他去干嘛？
[00:45:20.960] 女：我想多了，我其实还蛮清醒的，只是只是真的真真的。
[00:45:26.930] 男：衣服啊，对呀，就是。
[00:45:29.260] 男：他能不知道你为啥喝酒吗？
[00:45:31.753] 男：我真服了。
[00:45:34.140] 女：我我很明确的表示要回学校嗯。
[00:45:38.680] 女：我甚至我甚至想我。
[00:45:46.360] 男：Hello. 
[00:45:48.840] 男：Hello, 你没有声音了啊。
[00:45:51.180] 女：就就对，抵触已经到了这么长的步了，刚刚刚刚那个推开有听到吗？
[00:45:56.520] 男：推开。
[00:45:57.960] 男：嗯，好。
[00:45:58.425] 女：老师就会在他靠近我的时候把他推开。
[00:46:02.146] 女：嗯，我听到。
[00:46:03.077] 男：你说了好几遍，就是大概就是别别别别别靠近你这种感觉。
[00:46:09.380] 女：对呀。
[00:46:10.940] 女：他居然他居然会在我我我我在清醒的时候那么多次表明了让他不要靠近，然后再。
[00:46:18.540] 男：对吧？
[00:46:19.256] 男：对他就是想占你便宜。
[00:46:23.340] 男：就是想趁机占你便宜。
[00:46:26.120] 女：你会拿那个因为我喜欢你所有欲望对你说。
[00:46:30.107] 男：他拿着理由去开脱。
[00:46:32.520] 男：享受当下，我他妈当下我就想拿刀砍死你，当下就还有什么。
[00:46:37.289] 女：你要是不愿意。
[00:46:38.481] 男：我不会做的，你胡扯。
[00:46:40.071] 男：那他妈的你啊我清醒的时候我说不愿意，你不做，我不清醒的时候我没能力说不愿意了，你过来了。
[00:46:50.060] 男：这种人，这这这俩人都都该化学阉割。
[00:46:55.100] 女：嗯，我觉得我觉得全世界估计都是这种人了。
[00:46:59.040] 男：哼哼。
[00:47:03.960] 男：什么的感觉就是很很多。
[00:47:05.921] 女：时候当一个人他他对我我们提出的这些问题，他没有办法回答。
[00:47:11.200] 女：嗯，的时候。
[00:47:12.840] 女：他就反正就你就让他死了算了。
[00:47:16.628] 女：对。
[00:47:17.060] 女：就是就是当那些东西他你感觉跟他之间没有不不会就是好像有结果，但好像又没有那个结果，属于那种纠结。
[00:47:26.351] 女：他那基本上就淹了吧。
[00:47:28.209] 女：穷嘛就是什么我以为跟他聊能聊清楚吧。
[00:47:31.860] 女：你给我负责一下吧，然后他我操我就想了。
[00:47:35.440] 女：嗯，然后结果就那个啥了，淹了吧。
[00:47:38.317] 女：然然后核酸什么？
[00:47:39.867] 女：嗯，我们聊聊吧，就聊聊之前的事情。
[00:47:42.966] 女：我问我在想很痛苦好吗？
[00:47:45.800] 女：然后最后清醒的很太阴了吧。
[00:47:48.250] 女：然后然后这个张老师他也是。
[00:47:50.700] 男：嗯呃我不会。
[00:47:51.721] 女：在你我们不愿意的时候那个啥的。
[00:47:55.140] 男：你们今天的犯什么。
[00:47:57.020] 女：病一样的。
[00:47:59.740] 男：有一样的。
[00:48:01.460] 男：他他他他前面前面跟你说那些话，我听着我都烦。
[00:48:07.220] 男：应该是我也烦，我听着我都烦。
[00:48:09.791] 男：怎么。
[00:48:10.360] 男：扯什么犊子呢？
[00:48:13.420] 女：嗯嗯。
[00:48:15.180] 女：哎呀，没事了。
[00:48:17.060] 女：就是。
[00:48:18.440] 女：就是花两天时间。
[00:48:21.040] 女：看清楚了一个人，对，然后正好。
[00:48:25.700] 女：然后正好痘痘的伤害也没有特别大对。
[00:48:28.830] 男：也算及时止损了。
[00:48:30.560] 女：然后然后又因为这其中我设立了很多个边界。
[00:48:34.753] 男：对对对，你都做的特别好。
[00:48:37.360] 女：然后然后有那个退出机制吧。
[00:48:40.180] 男：对这做的很好，哪怕。
[00:48:42.280] 女：嗯，哪怕他要是，他估计也不会揍我要的，这个对他来说也没啥不好嗯。
[00:48:50.960] 女：然后我就陈小三还还以为我在游戏呢。
[00:48:54.800] 男：瞧他这个屌人。
[00:49:06.720] 男：哎。
[00:49:09.620] 女：你看我今天上午不是有跟你说吗？
[00:49:12.550] 女：嗯。
[00:49:13.960] 男：Hello hello我在。
[00:49:16.440] 女：我下午不是跟你说他他说那些话吗？
[00:49:19.777] 女：嗯？
[00:49:20.740] 男：嗯。
[00:49:22.560] 女：哦，对了，说到今天下午说的，我说我今天想到就是你什么安全感的那个问题，让我觉得很麻烦。
[00:49:30.635] 男：嗯，对。
[00:49:31.820] 女：都是傻逼，说啥呢？
[00:49:33.409] 女：他对我很委屈的跟我说。
[00:49:35.820] 女：那为什么你想到了。
[00:49:37.780] 女：就没有跟我说。
[00:49:41.140] 男：啊，我我不是跟你说了吗？
[00:49:44.700] 女：没有，就是那个嗯那个那个安全感。
[00:49:47.549] 女：我说我不是那种要被人家给予安全感，被人保护的人。
[00:49:52.026] 男：嗯。
[00:49:52.229] 女：然后这个是昨天晚上跟我说那些话，让我觉得冒犯的地方，所以我今天下午想清楚了，他的第一反应就是。
[00:50:01.140] 女：就是我可以问你一个问题吗？
[00:50:03.025] 女：什么为什么你下午想到了没有告诉我。
[00:50:06.800] 男：哥们儿防御机制挺强大呀。
[00:50:11.140] 女：对呀，就跟何川一样了，他当时完全就是那个样子。
[00:50:15.070] 男：对呀，那那那那我我我我这不是告诉你了吗？
[00:50:18.607] 男：你还要我啥时候说？
[00:50:20.400] 女：他他当他当时完全就是跟和尚。
[00:50:23.130] 男：一模一样，反正就是我说你不对，你你就防御，你就反击，你就说哎你你你就说我说晚了。
[00:50:31.060] 女：哎，你你知道你知道我是怎么应对的吗？
[00:50:34.052] 女：啊？
[00:50:34.680] 女：你听到了吗？
[00:50:35.971] 男：我我我我没听清。
[00:50:39.300] 女：你没听清，那你能录到吗？
[00:50:42.020] 男：我不太知道。
[00:50:43.540] 男：你再说一遍啊。
[00:50:45.540] 女：我我说的是嗯你你现在有在录到吗？
[00:50:48.405] 男：我现在在录。
[00:50:50.000] 女：嗯，我说的是。
[00:50:52.580] 女：那那那你思考今天晚上那两个问题。
[00:50:56.220] 女：你能马上告诉我吗？
[00:51:00.420] 男：天才，你看他。
[00:51:01.795] 女：认罪了，他说没有。
[00:51:04.100] 女：对。
[00:51:05.060] 男：对吧？
[00:51:06.480] 女：然后我跟他说。
[00:51:09.440] 女：那个今天早上是不是有个人今天早上跟我说，你这两天先不要想做这些事情。
[00:51:16.588] 女：对呀，到下周一准备好了再结束。
[00:51:19.492] 女：嗯，他说嗯是我说的。
[00:51:22.860] 男：那你今天你犯什么病？
[00:51:26.120] 女：然后我就开始反思，我我我有哪些地方做错了。
[00:51:30.374] 女：是第一，他他他至少他这个他这个点还是做的挺好的，嗯，就是在说完之后马上去总结和反。
[00:51:38.800] 女：呃，第一，在不合适的时间怎么怎么样，然后你不合适的方式怎么怎么样。
[00:51:49.840] 女：嗯，然后就是什么。
[00:51:53.200] 女：嗯，然后他就说我希望我我还有哪些地方冒犯到你了，跟我说。
[00:51:59.060] 女：那他马上收到什么原料？
[00:52:01.540] 女：对，但是我弄出来我就觉得很怪。
[00:52:04.144] 男：就是原谅。
[00:52:04.945] 男：说完我就原谅，反正我总结完了可以原谅我。
[00:52:08.552] 女：我感觉不管他完全变样了。
[00:52:10.755] 男：对呀，他这样和他妈犯病一样。
[00:52:13.300] 男：哎，你看。
[00:52:15.160] 男：呀我觉得我觉得主要原因是他把你踢到我了。
[00:52:20.500] 女：我觉得你了。
[00:52:22.090] 男：他有危机感。
[00:52:26.080] 女：他害怕了他的脚。
[00:52:29.040] 女：我说到那个冒犯的问题啊啥的，嗯，我讲到冒犯的问题还没有提到你好吧，他马上道歉了，说以后不会了嗯。
[00:52:40.120] 女：反正我就提到了，你你你也不是那个给我安全感的人。
[00:52:44.260] 男：嗯。
[00:52:45.480] 女：我说本来就因为我他妈强大呀。
[00:52:48.288] 男：对呀。
[00:52:49.140] 女：我说本来就是因为就就不能是因为我牛逼，我有足够强大的能力去调节这个事情，这样子正好有人出现了。
[00:52:58.640] 男：有没人能听你说接触。
[00:53:00.683] 女：的这些东西吗？
[00:53:02.045] 女：对呀。
[00:53:03.380] 男：嗯，听你说。
[00:53:04.071] 女：那我就跟他说，你昨天晚上那个问题的预设就是有问题的。
[00:53:08.219] 女：嗯，他说你好像你你你把我放在一个创伤者，一个要被保护的。
[00:53:12.720] 女：那个是那个失能者一样。
[00:53:15.010] 女：对，然后他说我没有把你当做失能者，就是他一直在反对。
[00:53:20.420] 女：他一直反驳我主观上感受到的那些东西。
[00:53:24.480] 男：他们反驳没有依据。
[00:53:27.120] 女：我最开始我我我我问我跟大家说的第一句话，我就前面不是等了很久吗？
[00:53:34.044] 女：一直没有说话嗯。
[00:53:36.040] 女：他说你说句话吧。
[00:53:37.630] 女：嗯我说我们不是。
[00:53:39.360] 女：我我我我我就问你今晚出来。
[00:53:43.060] 女：你有散布的目的是什么嗯？
[00:53:45.840] 女：这小子精的很嗯。
[00:53:49.080] 女：他说我第一次想和你陪你陪我出来走走。
[00:53:52.552] 女：嗯，然后第二就是有一些问题想和你说。
[00:53:55.960] 女：然后他马上就倒起来说，我没有在线上告诉你一个问题，想和你聊，是我错了，对不起。
[00:54:02.460] 女：然后然后对这个问题他之后说。
[00:54:06.440] 女：他在之后这样跟我说。
[00:54:08.460] 女：首先他他他他那个时候就已经马上意识到他应该跟我先说的。
[00:54:13.592] 女：嗯，然后第二。
[00:54:15.840] 女：他他这个知道。
[00:54:18.920] 女：他是怀着一种侥幸的心理，却没有告诉。
[00:54:24.780] 男：嗯。
[00:54:26.040] 女：你能懂吗？
[00:54:30.340] 男：为啥不说呀？
[00:54:33.540] 女：就是就是他他他是知道这个事情很重要，他应该先告诉我，这他怀着某种那种很纠结的心理，他没有说。
[00:54:42.380] 女：但是但是他今晚约我出来的目的是就是为了聊这件事情。
[00:54:46.660] 男：对了。
[00:54:48.620] 男：那你为什么不不听。
[00:54:49.808] 女：然后让他其实知道自己在某些方面应该是不占理的，就是他可能。
[00:54:53.960] 女：会得到没有得到想要的预期，然后他就用这种方式让自己占这个比较主导的。
[00:55:00.280] 男：位置吧，想打你个措手不及。
[00:55:03.600] 女：对。
[00:55:08.080] 女：然后我就跟他说，我说我以为你天气不好。
[00:55:12.000] 女：他陪你他陪你出来的，我不是来陪你相亲的。
[00:55:15.780] 女：然后他就他也没有反驳，他那个时候没有反驳。
[00:55:19.260] 女：懂吗？
[00:55:19.676] 女：你你懂吗？
[00:55:20.510] 女：他那个时候对我这个没有相信这句话，我有一点反驳他说嗯。
[00:55:27.080] 女：嗯，然后他他他在之后才开始找补。
[00:55:30.700] 女：说我没有那个意思，我只是想更了解你。
[00:55:34.140] 女：但其实但其实在我那句话说出来之后，我已经刺中了他的核心目的了。
[00:55:40.164] 女：对他。
[00:55:40.760] 男：想看看你有没有。
[00:55:43.880] 男：价值。
[00:55:49.960] 女：怎么我没有把你放到天平上？
[00:55:53.780] 女：滚。
[00:55:55.680] 男：不是你这两句话怎么问出口的，我我我我我是这样知道。
[00:56:00.720] 男：我知道他那他那两句话是怎么问出口的。
[00:56:04.520] 女：在路上啥也没说话。
[00:56:07.080] 女：他突然间来了一句。
[00:56:11.320] 男：嗯。
[00:56:14.540] 女：恶心死了，去找别人吧。
[00:56:16.647] 男：对呀，你就祸害别的女生吧。
[00:56:19.222] 男：哦对不起你，你买个杯子自己冲吧。
[00:56:26.960] 男：哎。
[00:56:32.740] 男：搞什么东西呀？
[00:56:33.955] 男：那所以我感觉他他他着急了，他他真着急了。
[00:56:38.240] 女：真着急了，怕他他快到手的香就被人抢了。
[00:56:42.569] 男：太急了。
[00:56:43.333] 女：他他他对自己很有信心。
[00:56:46.800] 女：我跟你说，我我我懂了，就是因为他对自己很有信心，嗯，就他做了那么多计划，就就包括跟我相处，他觉得。
[00:56:54.940] 女：很ok，就我们两个之间很很稳定，很安全嗯。
[00:56:59.340] 女：然后然后再加上他一他他又在偷偷做一些努力嘛，就他。
[00:57:04.400] 女：那他去考个公务员什么的，怎么说也准备了这大半年吧嗯然后他自己本来。
[00:57:12.040] 女：就是有这些事情上有有什么反思。
[00:57:15.400] 男：之类的嗯。
[00:57:18.440] 女：嗯。
[00:57:22.840] 女：然后然后然然后然后他对自己的前途什么的那个那个打算呢考虑啊也比较有信心。
