[00:00:00.000] 女：落在宿舍了。
[00:40:18.340] 女：包括就open。
[00:40:21.620] 女：Mail的文件夹的哦。
[00:40:25.740] 男：什么open I smile，什么东西。
[00:40:30.760] 男：啊。
[00:40:32.660] 男：啊。
[00:40:34.140] 男：双头剪。
[00:40:39.240] 男：我都忘了，那是我的文件夹吗？
[00:40:46.800] 女：你在。
[00:40:49.740] 女：Offer. 
[00:40:53.480] 男：你。
[00:40:58.520] 女：宝宝。
[00:41:00.480] 男：没事，你看看。
[00:41:03.600] 女：有什么问题吗？
[00:41:04.869] 女：亲，没什么。
[00:41:05.715] 男：还是我留给你的遗产。
[00:41:12.900] 男：嗯。
[00:41:17.480] 女：哎，等一下说啊嗯。
[00:41:20.280] 女：呃，我想我想把微信就是桌面的东西批量转移到文件夹里面，然后然后我。
[00:41:26.940] 女：然后我多选，就是我滑动鼠标多选了，直接拖进去。
[00:41:30.618] 女：它为什么左下角会显示一个类似于快捷方式的图标啊？
[00:41:34.849] 女：它显示的不是移动，而是不是不是复制的是移动。
[00:41:38.528] 女：为什么还有这个标。
[00:41:40.640] 男：你拍一下屏幕给我看看呢。
[00:41:46.520] 女：哦，对，我们我们开着摄像头。
[00:41:51.220] 女：那就是。
[00:41:53.260] 女：就是这样，我我这样一导致导致一个图片会出现两个，就是就是我这样还得发。
[00:42:00.280] 女：看上就两个明日方舟模拟器，我是这样这样这样拿，然后移移进来。
[00:42:06.245] 男：哎，你你你你要移动到哪里，哪个文件夹？
[00:42:10.640] 女：这是桌在桌面的一个文件夹。
[00:42:17.160] 男：在沉闷的荧光链接。
[00:42:20.180] 女：嗯。
[00:42:21.500] 女：这这些这些是不是原文件吧，只是快捷方式吧。
[00:42:27.120] 男：你先把这些东西清一下吧，这这这都有箭头的，都是快捷方式，这都无所谓。
[00:42:33.980] 女：哦，饿了。
[00:42:38.100] 男：美红，等你等一下。
[00:42:40.880] 男：桌面的一个文件夹，你看你给我看一下它路径呢。
[00:42:47.300] 女：就是这个。
[00:42:49.220] 男：整理不应该呀，你之前是不是移过一次？
[00:42:53.980] 女：没有，里面都没什么东西的哦。
[00:43:02.640] 男：没办法，那你就慢慢删吧。
[00:43:06.820] 女：他不是那个快捷方式，都是能删。
[00:43:08.940] 男：可以，我就随便删呀，那无所谓。
[00:43:11.640] 女：那他存在哪儿啊？
[00:43:13.016] 女：媛媛原来的。
[00:43:15.360] 男：呃，你右键一个快捷方式。
[00:43:22.180] 男：给我看一下屏幕。
[00:43:26.820] 男：我不看屏幕我不看屏幕，我不知道它有什么选项。
[00:43:30.920] 女：没事的啊，我一个一个删，一个一个闪现了。
[00:43:36.820] 男：你得按住那个control多选。
[00:43:40.540] 女：我知道了嗯。
[00:43:42.920] 女：这点操作上是还是有的。
[00:43:49.580] 女：大大大姐把妹子丑。
[00:44:32.080] 男：今天过一会儿，我得做一个那个笔试啊。
[00:44:37.340] 男：中国移动的。
[00:44:39.440] 女：我操，你要进我最恨的公司了。
[00:44:55.440] 女：我把我把一些可能可能是有用的快捷方式给删了，操。
[00:45:00.440] 男：没事儿，你到时候你新建就行。
[00:45:03.860] 女：别的。
[00:45:06.140] 女：我不行，手痛。
[00:45:08.720] 男：还是那个那个东西吗？
[00:45:11.660] 女：那刺痛的那好像。
[00:45:13.868] 男：是好好好像是粉刺之类的。
[00:45:17.800] 女：能够嗯。
[00:45:18.517] 男：要不你附近有没有医院啊，你去医院看一下，挂个门诊。
[00:45:25.580] 男：这东西医生一看应该就知道怎么治。
[00:45:30.960] 男：应该应该应该也不是啥大问题。
[00:45:34.160] 女：我至少他有看过。
[00:45:36.251] 男：对，那医生有说怎么治吗？
[00:45:40.580] 女：别相信几层的医生吧。
[00:45:42.012] 女：我问他是怎么回事，他说，你问我干啥？
[00:45:44.700] 男：啊。
[00:45:47.000] 女：对，到时候你问我，我我我怎么知道。
[00:45:50.493] 男：哪哪个的医生呀？
[00:45:52.640] 女：我家那边。
[00:45:53.970] 男：的不是那。
[00:45:55.820] 男：那他不知道怎么回事，那他怎么给你治呀？
[00:45:59.620] 女：不是啊，他说你你要么做手术切了呗，要么自己忍一下，让他自己掉呗。
[00:46:06.220] 男：真是。
[00:46:07.440] 男：这东西它确实我我妈我妈她也有。
[00:46:15.020] 男：反正我妈之前去诊所问医生的话，医生也是说你要把治疗术拿掉，要么她自己她就消了。
[00:46:24.660] 男：哦，对我感觉应该都是同一个症状。
[00:46:30.340] 男：做手术拿掉的话，它还会再长这个东西。
[00:46:33.889] 男：我不知道他啊。
[00:46:35.580] 女：他他跟我说，何川在一块儿约会，还会我已经。
[00:46:39.920] 女：哎，直接说约会吧，就是跟他去公园的时候就有了。
[00:46:44.520] 男：嗯。
[00:46:46.420] 女：就很多年了，然后也是就偶尔会好好一点。
[00:46:51.900] 男：那你平常的时候它会小一点吗？
[00:46:56.180] 女：他就是一直都在那，只是只是说不影响我生活。
[00:46:59.894] 女：然后之前有段时间他好像消失了，后面不知道干嘛。
[00:47:04.940] 男：有空去医院挂个门诊看看吧。
[00:47:10.100] 女：啊，胡芳老师虽然说会陪我去嗯。
[00:47:15.140] 女：我还想着，哎，我这时候找不到那个，我怎么桌面一堆那种饿死屌丝啊。
[00:47:21.270] 男：你怎么啥都往桌面屯呀？
[00:47:23.960] 男：你找个隐蔽的啊，不是。
[00:47:26.057] 女：因为我那个时候我是想发给你的。
[00:47:29.760] 男：好，那我然后我有一个。
[00:47:31.698] 女：嗯文件夹是做的，但是但是微信它读不了那个文件夹里面那个。
[00:47:37.440] 女：那个那个那个。
[00:47:39.560] 女：就那个那个卷很多，我不知道为啥，只有存到桌面上才能读出来，给你发过去。
[00:47:45.400] 男：嗯，那谢谢你啊。
[00:47:49.440] 女：你他妈的。
[00:47:58.300] 女：那个奶龙跟白浆那个土豆还在。
[00:48:08.920] 男：不觉得这很恶俗吗？
[00:48:12.560] 女：你觉得很神圣啊。
[00:48:16.640] 男：哎。
[00:48:27.300] 男：我买过这个苹果的笔记本之后，我就没用过我的那个笔记本了。
[00:48:33.080] 男：我爱我也爱你。
[00:48:35.300] 男：这本的真好用吧。
[00:48:38.160] 女：本子挺好看的。
[00:48:39.920] 男：我觉得。
[00:48:42.720] 男：计算机系的学生都应该买笔记本，而不是买平板。
[00:48:47.220] 男：我爱你，我靠，我也爱你。
[00:48:50.160] 男：这里用的那个平板，我当年买也花三千多呢。
[00:48:54.260] 女：我操，确实好，但是三千多拿一个内存那么小的平板，我。
[00:49:00.100] 女：是为什么？
[00:49:01.400] 男：平板内存大的话，你得往四五线上走了。
[00:49:06.140] 女：你六十多根本用不了啥，你只能作为最普通的办公软件，就是办公设备使用。
[00:49:12.816] 男：对呀，当年年少无知。
[00:49:15.020] 女：我现在这个锅盔都要爆了。
[00:49:20.780] 男：好奇怪哦。
[00:49:21.984] 女：我不能问一些，应该好贵啊。
[00:49:25.297] 男：妈啊。
[00:49:26.320] 女：你帮我贵。
[00:49:27.940] 男：这平板素质高，我能不过瘾吗？
[00:49:32.260] 女：现在还不能就是在在在在家出生。
[00:49:36.500] 男：可以买一个移动硬盘呀。
[00:49:41.780] 男：你不是有一个移动硬盘吗？
[00:49:45.540] 女：那你咋说？
[00:49:46.888] 男：老弟啊？
[00:49:49.160] 女：没事。
[00:49:51.640] 女：娃娃的。
[00:49:53.020] 女：我要打。
[00:49:54.260] 男：答。
[00:49:58.420] 男：中国移动啊。
[00:50:00.980] 女：你继续说没有。
[00:50:03.005] 男：我说。
[00:50:03.820] 男：那个平板我也花三千多，这个二手本子我也花三千多。
[00:50:08.960] 女：42个粉丝。
[00:50:10.440] 男：皇冠多了。
[00:50:11.428] 男：对呀，但是你要买最新款的最新款的这个mc macbook air的话，那得要六千多块钱。
[00:50:21.460] 男：这是老款了，这是20年的。
[00:50:30.220] 女：哎，爬山爬山爬不了一点。
[00:50:37.820] 男：打牌吗？
[00:50:41.820] 女：多买呀。
[00:50:43.000] 男：嗯，给你买啥？
[00:50:45.160] 男：杀戮点塔。
[00:50:49.680] 男：2。
[00:50:52.260] 男：哦，咱俩好不共享，哎呀，操。
[00:50:56.860] 女：小号共享啊。
[00:50:57.888] 男：早知道我在小号上买了，这样你也能玩。
[00:51:03.700] 女：你给子豪玩，你跟子豪过去吧。
[00:51:06.800] 男：不对，我忘了他怎么说，我买杀戮点塔了。
[00:51:11.900] 男：谢谢你提醒我怎么得玩吗？
[00:51:14.496] 男：怎么不玩？
[00:51:23.360] 女：我我怕吵到你这个麦啊。
[00:51:26.540] 男：找到我。
[00:51:29.760] 男：嗯嗯。
[00:51:35.140] 男：嗯。
[00:51:51.660] 男：嗯。
[00:52:01.740] 男：嗯。
[00:52:16.960] 男：嗯。
[00:52:19.220] 男：嗯。
[00:52:29.820] 男：嗯。
[00:52:41.520] 男：嗯。
[00:52:54.020] 女：哎，不对，我我是把扬声器关了吗？
[00:52:58.280] 男：笑死我了。
[00:53:04.080] 男：嗯。
[00:53:18.080] 女：啊，为什么开？
[00:53:57.820] 女：太难了。
[00:54:29.260] 男：嗯。
[00:54:39.360] 男：嗯嗯。
[00:55:18.340] 男：嗯。
[00:55:24.960] 女：我操，狂龙骑士怎么玩呢？
[00:55:30.620] 男：你你买那个四之歌了吗？
[00:56:12.300] 女：你看，大老师来了。
[00:56:14.540] 男：那你要挂吗？
[00:56:21.060] 女：哎呀，我操好痛，是是是是痛了。
[00:56:43.160] 男：嗯。
[00:57:02.840] 女：你太久没打了。
[00:57:08.500] 女：手术。
[00:57:12.540] 女：我操我你。
[00:57:26.560] 女：我我。
[00:57:27.480] 女：操操你操。
[00:58:00.200] 女：天哪。
[00:58:58.580] 女：你和。
[00:59:38.020] 女：把你个头。
[01:00:41.639] 女：奶奶呀，我求奶奶告佛了。
[01:01:18.339] 女：好痛啊。
[01:01:20.219] 女：好痛啊。
[01:01:21.559] 女：好痛啊，我打工都急死了。
[01:01:26.959] 女：气死我操你。
[01:01:32.319] 女：非常非常的难过啊，哎呀，操，怎么可能其实这么坏啊。
[01:01:37.759] 女：真的坏了。
[01:01:40.439] 女：Break lesson. 
[01:01:42.859] 女：No, no, no, no, no, no, no. 
[01:01:55.079] 女：你们那种小小个的可以吗？
[01:01:57.959] 女：是啊。
[01:01:58.859] 女：那个茶杯。
[01:02:00.039] 女：哎，操。
[01:02:18.239] 女：这个家伙。
[01:02:20.619] 女：然后我把他背头。
[01:02:25.479] 女：够了别发了。
[01:02:28.219] 女：我要打我要打鸡。
[01:02:34.119] 女：你这个傻什么？
[01:02:36.259] 女：别够了。
[01:02:56.039] 女：哦。
[01:02:57.259] 女：我操。
[01:03:06.639] 女：基本上都是啥呀？
[01:03:10.659] 女：为啥顶风臭？
[01:03:14.199] 女：DASW账户是开设的。
[01:03:18.679] 女：嗯，你说的是QQ是你。
[01:03:34.039] 女：JN20004。
[01:03:40.059] 女：那就是像这种带着吹来。
[01:04:28.579] 女：出问题了，我的我的电脑老是会存在黑屏，就是那种。
[01:04:33.459] 女：还有在显示，就是那个显示屏突然变很黑，是是为什么？
[01:04:39.819] 女：不知道你你电脑什么牌子的。
[01:04:51.119] 女：我问一下GPT。
[01:05:14.339] 女：我以前指的是黑屏，然后。
[01:05:18.879] 女：嗯，然后然后现在我发现那里面只是有显示。
[01:05:23.184] 女：对对对对，这样。
[01:05:28.879] 女：我前段时间就有这个情况，以前有试过。
[01:05:50.199] 女：冰片是不是？
[01:05:58.919] 女：GPT也是这么说的，windows是。
[01:06:03.899] 女：是按那个更加说的。
[01:06:14.839] 女：他现在是在正常运作的状态啊。
[01:06:19.879] 女：这我按文件肯定有反应啊，他不是会按哪个键有声音来着吗？
[01:06:25.579] 女：屏幕屏屏幕就是就是我能看到里面的东西，但是它这个屏幕是黑的，就相当于是那个突然间暗了很多。
[01:06:33.428] 女：好，那怎么办？
[01:06:34.363] 女：我是不是要拆开电脑去了？
[01:06:52.039] 女：你再开呀。
[01:07:57.079] 女：强行重启是什么键？
[01:08:49.899] 女：白色的是什么？
[01:08:52.079] 女：到店里。
[01:08:57.419] 男：比如说。
[01:09:12.639] 男：这个审核的。
[01:09:29.259] 男：在那个。
[01:09:32.339] 男：我自己是这么。
[01:09:35.199] 女：不知道。
[01:09:36.539] 男：那我先去。
[01:09:37.683] 女：找你吃去吧，吃。
[01:09:40.399] 女：哦。
[01:09:43.519] 男：你现在电脑也坏了。
[01:09:45.429] 女：等一下，现在在视图中。
[01:09:55.659] 男：没有。
[01:09:57.299] 男：你刚刚打开电脑还是什？
[01:10:00.279] 女：呃，打游戏打到一半在一起了，就像是。
[01:10:04.159] 男：那一般。
[01:10:06.119] 女：对啊，就是就是这里面是有显示内容的，就能看得到。
[01:10:12.319] 男：你他妈不会是烧屏了吧。
[01:10:15.679] 女：知道他他之前他之前也是有这种。
[01:10:20.919] 女：空气也不行，刚刚已经通知过了。
[01:10:23.450] 男：你现在看的都。
[01:10:26.159] 女：不过鼠标垫是坏的那我不知道在哪。
[01:10:33.979] 女：这大概是15分钟。
[01:10:39.599] 女：是吧？
[01:10:41.359] 男：哦。
[01:10:43.859] 女：问一下，哎呀。
[01:10:49.419] 男：你这是这个是没什么变。
[01:10:53.199] 男：2。
[01:11:01.819] 女：是的。
[01:11:05.339] 女：啊。
[01:12:02.399] 女：先把电源、鼠标、U盘这些外接设备把那么off一次。
[01:12:10.199] 女：关机不上盖。
[01:12:45.559] 女：拔掉电，长按开机键，关机键。
[01:12:53.019] 女：直至键盘量消失。
[01:12:55.424] 女：什么意思？
[01:13:00.219] 女：把垫子翻过来，敲背面。
[01:13:22.899] 女：我的妈呀，还当键盘。
[01:13:28.439] 女：拍出来从键盘拍出来的这种。
[01:13:44.819] 女：嗯。
[01:13:56.939] 女：嗯，好。
[01:14:00.919] 女：没用啊。
[01:14:07.179] 女：没有啊。
[01:14:27.939] 女：嗯。
[01:14:29.659] 女：Shift加control，加by by by by by by by by by他们的。
[01:14:37.159] 女：哎，对。
[01:14:45.839] 女：Why shift加control加best？
[01:16:27.059] 女：不行啊，我们要拿去修了。
[01:16:31.039] 女：那咋干啥？
[01:17:08.659] 女：哎，算了，我找陈哥了。
[01:18:58.419] 女：嗯。
[01:30:02.839] 女：嗯。
[01:30:11.839] 女：嗯。
[01:30:17.839] 女：嗯。
